date,day,model,risk_of_additional_cases,monte_carlo_standard_error
2018-04-06,1,dlo,0.5780282922918338,0.0018681592555626085
2018-04-07,2,dlo,0.5655656630598865,0.003595051102458943
2018-04-08,3,dlo,0.8553854436024813,0.0013237769431217153
2018-04-09,4,dlo,0.8480253334863621,0.002472736339473905
2018-04-10,5,dlo,0.8324874356993383,0.0025616078838905493
2018-04-11,6,dlo,0.8192546492464775,0.0018726546960118014
2018-04-12,7,dlo,0.9831512099463977,0.0004756738254796406
2018-04-13,8,dlo,0.9956365905119564,0.00032248374196979006
2018-04-14,9,dlo,0.9943174523149795,0.00036417492722582735
2018-04-15,10,dlo,0.9916835172613444,0.0002773854291406197
2018-04-16,11,dlo,0.9890566034026675,0.00039986396946668865
2018-04-17,12,dlo,0.9839130092095111,0.0006688475966058175
2018-04-18,13,dlo,0.9945277388351585,0.0003720061582969431
2018-04-19,14,dlo,0.9983305837259628,6.333622070296379e-05
2018-04-20,15,dlo,0.999505059618789,1.578098460467252e-05
2018-04-21,16,dlo,0.9998057022810648,1.678905317102381e-05
2018-04-22,17,dlo,0.9995718646471561,3.0709517831844685e-05
2018-04-23,18,dlo,0.9998522925068157,1.68559943334835e-05
2018-04-24,19,dlo,0.9999266652901083,8.821048019705592e-06
2018-04-25,20,dlo,0.9999722578597625,3.1082770058479933e-06
2018-04-26,21,dlo,0.9999471461845343,6.701304127311715e-06
2018-04-27,22,dlo,0.9999683552612919,6.915884027998496e-06
2018-04-28,23,dlo,0.9999151337720616,1.1021500284315278e-05
2018-04-29,24,dlo,0.9998463060008085,1.1949040092609192e-05
2018-04-30,25,dlo,0.9996950124648605,1.859408729312489e-05
2018-05-01,26,dlo,0.9999355975950103,4.676116085283082e-06
2018-05-02,27,dlo,0.9998682770747948,1.0454979710855094e-05
2018-05-03,28,dlo,0.9999747264112748,3.239322072507751e-06
2018-05-04,29,dlo,0.9999994071029896,1.4090856981014975e-07
2018-05-05,30,dlo,0.9999998019343911,1.598875787487828e-08
2018-05-06,31,dlo,0.9999999260998946,1.1453309770085825e-08
2018-05-07,32,dlo,0.9999999533747299,6.50101052528323e-09
2018-05-08,33,dlo,0.9999999530328425,1.860466498415907e-08
2018-05-09,34,dlo,0.999999936077901,1.0258477296253883e-08
2018-05-10,35,dlo,0.99999997603338,9.291955007627233e-09
2018-05-11,36,dlo,0.999999924398638,2.550317903652414e-08
2018-05-12,37,dlo,0.9999999636116557,9.531362811081705e-09
2018-05-13,38,dlo,0.9999999823453566,9.3887189719887e-09
2018-05-14,39,dlo,0.9999999956288215,3.059061706762674e-10
2018-05-15,40,dlo,0.9999999990008196,2.5064074329339057e-10
2018-05-16,41,dlo,0.9999999993355219,3.013515019654057e-10
2018-05-17,42,dlo,0.9999999981042598,6.277383267466844e-10
2018-05-18,43,dlo,0.9999999996458684,8.150820835578266e-11
2018-05-19,44,dlo,0.9999999998403134,4.737468910059533e-11
2018-05-20,45,dlo,0.9999999998941309,6.509445216345858e-11
2018-05-21,46,dlo,0.9999999999738036,1.1309306922033718e-11
2018-05-22,47,dlo,0.999999999635017,2.0005142558518527e-10
2018-05-23,48,dlo,0.9999999968321355,2.13987541034995e-09
2018-05-24,49,dlo,0.9999999985601074,4.551840258260755e-10
2018-05-25,50,dlo,0.9999999853408026,3.7151925076593776e-09
2018-05-26,51,dlo,0.9999999770521532,1.0797198685818803e-08
2018-05-27,52,dlo,0.999999780403517,1.6292196992635422e-07
2018-05-28,53,dlo,0.9999999260799849,1.944505397759091e-08
2018-05-29,54,dlo,0.9999998772346289,1.697937895575359e-08
2018-05-30,55,dlo,0.9999997829470767,2.690267184587273e-08
2018-05-31,56,dlo,0.999999089470877,1.4550584757582126e-07
2018-06-01,57,dlo,0.9999980620177916,2.8774797841996967e-07
2018-06-02,58,dlo,0.9999987695952806,8.580425274458147e-08
2018-06-03,59,dlo,0.9999967896248255,6.283813217591298e-07
2018-06-04,60,dlo,0.9999935391088947,9.15257337178208e-07
2018-06-05,61,dlo,0.9999866055980645,1.3904972156117533e-06
2018-06-06,62,dlo,0.9999720172701488,1.824067130003256e-06
2018-06-07,63,dlo,0.9999425459589409,1.5556265586278445e-06
2018-06-08,64,dlo,0.9998904381658774,8.964716799857386e-06
2018-06-09,65,dlo,0.9997923149844443,1.0275018575911253e-05
2018-06-10,66,dlo,0.9996101564315426,1.5474482969534006e-05
2018-06-11,67,dlo,0.999275054753944,2.113748349295995e-05
2018-06-12,68,dlo,0.9986755512254597,4.052984189295637e-05
2018-06-13,69,dlo,0.99771413016849,2.939482952067615e-05
2018-06-14,70,dlo,0.9960827904636012,8.095661377175501e-05
2018-06-15,71,dlo,0.9939504938976029,0.00017384966132696
2018-06-16,72,dlo,0.9902730700012139,0.00013785940080882005
2018-06-17,73,dlo,0.9848751481625136,0.00018728337178458245
2018-06-18,74,dlo,0.9778163613050554,0.00011645967590548077
2018-06-19,75,dlo,0.9678076896995372,9.718166853009474e-05
2018-06-20,76,dlo,0.9547603532177396,0.00023974052184495216
2018-06-21,77,dlo,0.9374882838883526,0.0005914178500827551
