date,day,model,risk_of_additional_cases,monte_carlo_standard_error,risk_of_sustained_transmission,sustained_transmission_monte_carlo_standard_error
2018-04-06,1,sse,0.28941802677473827,0.0036462361969825884,0.0915578881212804,0.003685394459706059
2018-04-07,2,sse,0.2841878895940554,0.0009927832278208268,0.08722700007446793,0.0005151366815770753
2018-04-08,3,sse,0.6406548809843193,0.0031621952203708245,0.29979321631086864,0.004442824865945686
2018-04-09,4,sse,0.629687563616018,0.004415693566237871,0.2874002858403426,0.006462532097088278
2018-04-10,5,sse,0.6192502349964495,0.005388783608116438,0.2822684869531439,0.00847796819865537
2018-04-11,6,sse,0.5973857492683895,0.000989439882807926,0.2623877571035912,0.0034439033298994635
2018-04-12,7,sse,0.9318435512902036,0.0014731153419646013,0.6491881558251664,0.0031788363157696183
2018-04-13,8,sse,0.9826929161003372,0.0005163845869194918,0.824078205309885,0.004066937399274393
2018-04-14,9,sse,0.9790613545664418,0.0005234214334020839,0.8009658636021747,0.0031331888657575805
2018-04-15,10,sse,0.9731187237981263,0.001022651563002125,0.7701393468232339,0.008060581869215856
2018-04-16,11,sse,0.9659253382499251,0.001325379453692287,0.7346185862893617,0.006653105516207728
2018-04-17,12,sse,0.9542308188883949,0.0014465404844188807,0.6853797261953654,0.006007543586071598
2018-04-18,13,sse,0.9835144264082163,0.0010595285880134857,0.7933052122030575,0.0028152886395081296
2018-04-19,14,sse,0.9942728500853704,0.0001847315127614017,0.8758279113914987,0.0021967797318555972
2018-04-20,15,sse,0.998364221714548,7.131076617533636e-05,0.9214749764916828,0.004626042572108343
2018-04-21,16,sse,0.9992618085012765,6.560413150373232e-05,0.9466548125001483,0.0017814380416796658
2018-04-22,17,sse,0.9987548669030226,7.345221587633826e-05,0.9223349194044914,0.0024662522876391555
2018-04-23,18,sse,0.9995583878891551,2.3592921165180657e-05,0.950605534936713,0.0030537615786401045
2018-04-24,19,sse,0.9998502165776909,9.240198756159884e-06,0.9687366048546678,0.0005334186054963786
2018-04-25,20,sse,0.9999295088809547,9.225687143862085e-06,0.9744808615448337,0.0017302161534875258
2018-04-26,21,sse,0.9998485325956825,2.1727709309304784e-05,0.9633710637887738,0.0033722174917299994
2018-04-27,22,sse,0.9999176767641772,1.5101880964979e-05,0.971236848358412,0.0014199168700259742
