date,day,model,risk_of_additional_cases,monte_carlo_standard_error,risk_of_sustained_transmission,sustained_transmission_monte_carlo_standard_error
2018-04-06,1,ssi,0.2829051119651156,0.0007790822957185249,0.07806092811683873,0.0016414152727086434
2018-04-07,2,ssi,0.27260604173009717,0.0008491421366709721,0.0699750062543738,0.0004733935104397568
2018-04-08,3,ssi,0.9152920343076975,0.0010821052032437073,0.4626011326312234,0.0036613752796842
2018-04-09,4,ssi,0.8925338266856755,0.00050737899233821,0.400240744195578,0.0022545300237820642
2018-04-10,5,ssi,0.864070796951845,0.001643289870491261,0.342171231954983,0.0039107753205496676
2018-04-11,6,ssi,0.8299944725667848,0.001728089529014952,0.2763661883927421,0.0037967328885302135
2018-04-12,7,ssi,0.9987257232258475,0.00010494086137160305,0.7602409732562099,0.005455087775354892
2018-04-13,8,ssi,0.9994685413891499,3.8565193739936516e-05,0.7760448042453794,0.0049276066860521025
2018-04-14,9,ssi,0.998961978136628,3.9009505559375964e-05,0.7084922176509564,0.0018867902865234824
2018-04-15,10,ssi,0.9973762297204181,4.239390249050038e-05,0.630964716329875,0.0023563647605354524
2018-04-16,11,ssi,0.9948017466855121,0.0003009365509778514,0.546041516115561,0.002912769282921294
2018-04-17,12,ssi,0.9904426095926125,0.00043452378826953545,0.47246265271381194,0.008283343204402636
2018-04-18,13,ssi,0.9942468769973151,0.00023226891112284923,0.5272356923218764,0.00973451617043698
2018-04-19,14,ssi,0.9964410896801962,0.0002160328420219489,0.560947547028253,0.006156114133781857
2018-04-20,15,ssi,0.997834024878796,2.5414775216411054e-05,0.6000653906154423,0.0045518632713391965
2018-04-21,16,ssi,0.9984955543050467,8.211165350562453e-05,0.6287739644449741,0.007480191138997729
2018-04-22,17,ssi,0.9967885594354164,6.090784293866167e-05,0.5555933943679119,0.005107251033393053
2018-04-23,18,ssi,0.9975834477474746,7.068754700684142e-05,0.5805299387587665,0.003119990249844386
2018-04-24,19,ssi,0.9982980714945427,4.536465632527929e-05,0.6181696392695357,0.0032394124473047216
2018-04-25,20,ssi,0.9987427400365507,8.71063105234236e-05,0.6299357340754537,0.005145595471664652
