date,day,model,risk_of_additional_cases,monte_carlo_standard_error
2018-04-06,1,dlo,0.5908857312191558,0.003139288368284563
2018-04-07,2,dlo,0.5873316715470762,0.001788658568917469
2018-04-08,3,dlo,0.8674775242553145,0.001954025628147199
2018-04-09,4,dlo,0.8602468119560848,0.002000744648330761
2018-04-10,5,dlo,0.8466096388560098,0.0014657547567245984
2018-04-11,6,dlo,0.8338984671064924,0.0023444267160528933
2018-04-12,7,dlo,0.9939985044340032,0.00011227306954391678
2018-04-13,8,dlo,0.9972052869883521,0.00010306095277663209
2018-04-14,9,dlo,0.9967867281607672,0.00012485451176974695
2018-04-15,10,dlo,0.9959548028554844,0.0001059329306660642
2018-04-16,11,dlo,0.9945105158123623,0.00018906155660696958
2018-04-17,12,dlo,0.9929519898316973,0.00016715408046222673
2018-04-18,13,dlo,0.9960094995852196,0.00016928435097564556
2018-04-19,14,dlo,0.997527706171406,5.663328516988388e-05
2018-04-20,15,dlo,0.9983225674600235,8.131270683298428e-05
2018-04-21,16,dlo,0.9989156757693989,2.4294126597439984e-05
2018-04-22,17,dlo,0.9984934506694245,5.148347149752265e-05
2018-04-23,18,dlo,0.9988716337472978,3.719294898870415e-05
2018-04-24,19,dlo,0.9991622711124808,2.776895612286853e-05
2018-04-25,20,dlo,0.9994147037002635,4.519926995094846e-06
2018-04-26,21,dlo,0.99912738729896,3.472298036458036e-05
2018-04-27,22,dlo,0.9992998880268136,3.523034325548821e-05
2018-04-28,23,dlo,0.9990253023974695,3.766232954382181e-05
2018-04-29,24,dlo,0.9984842544397857,3.39514331768869e-05
2018-04-30,25,dlo,0.9978874009651062,1.4280068355759128e-05
2018-05-01,26,dlo,0.9990447800343837,1.075052435175111e-05
2018-05-02,27,dlo,0.9986661885868214,9.253016150479054e-05
2018-05-03,28,dlo,0.999381709515952,1.9273279071406148e-05
2018-05-04,29,dlo,0.9999581811642975,9.721836691159007e-07
2018-05-05,30,dlo,0.9999755309972063,4.823489620157085e-07
2018-05-06,31,dlo,0.999974541495897,1.170857877466093e-06
2018-05-07,32,dlo,0.9999742704059635,1.0258646322974287e-06
2018-05-08,33,dlo,0.9999702294409883,1.7000227823018147e-06
2018-05-09,34,dlo,0.9999614627725666,9.802165338162978e-07
2018-05-10,35,dlo,0.9999772135667616,9.826272105193891e-07
2018-05-11,36,dlo,0.9999714135145901,6.64171401253683e-07
2018-05-12,37,dlo,0.9999684713088316,6.119267547474547e-07
2018-05-13,38,dlo,0.9999760023659618,6.207855905496861e-07
2018-05-14,39,dlo,0.9999813923772961,6.492403649839975e-07
2018-05-15,40,dlo,0.9999891895374498,7.044677537819224e-07
2018-05-16,41,dlo,0.9999929722636072,3.694252966497097e-07
2018-05-17,42,dlo,0.9999891602253214,3.698469290601288e-07
2018-05-18,43,dlo,0.99999003470229,7.005238209223366e-07
2018-05-19,44,dlo,0.9999915678340463,5.713846215796102e-07
2018-05-20,45,dlo,0.999994957411906,2.4013334664693415e-07
2018-05-21,46,dlo,0.9999953020214143,1.928946691087818e-07
2018-05-22,47,dlo,0.9999924308609457,6.003677391862318e-07
2018-05-23,48,dlo,0.9999874211385301,7.03521163122258e-07
2018-05-24,49,dlo,0.999983435887704,5.120468791998948e-07
2018-05-25,50,dlo,0.9999742553728623,9.772354348792822e-07
2018-05-26,51,dlo,0.9999571538712434,1.092172297373587e-06
2018-05-27,52,dlo,0.9999399448733411,1.343903117646135e-06
2018-05-28,53,dlo,0.999934520624017,3.2118108008842746e-06
2018-05-29,54,dlo,0.9998904763320725,6.292341620367852e-06
2018-05-30,55,dlo,0.9998355191938306,2.3190832375090063e-06
2018-05-31,56,dlo,0.9997440228915401,2.8806177096968428e-06
2018-06-01,57,dlo,0.9996178382641657,9.127761012065904e-06
2018-06-02,58,dlo,0.9996670120503064,2.647844644646718e-06
2018-06-03,59,dlo,0.9995165486291828,1.4463787530023133e-05
2018-06-04,60,dlo,0.9992552096824887,1.060350405669838e-05
2018-06-05,61,dlo,0.9989110465693303,3.3862561261957404e-05
2018-06-06,62,dlo,0.9983726557286323,3.0512147390976433e-05
2018-06-07,63,dlo,0.9977774038748516,4.831098046867942e-05
2018-06-08,64,dlo,0.9967165594436902,3.033328382708463e-05
2018-06-09,65,dlo,0.9953722496877209,6.077165057807141e-05
2018-06-10,66,dlo,0.9936250688569966,0.00012127187709477132
2018-06-11,67,dlo,0.9909668373301233,0.0001361374226487687
2018-06-12,68,dlo,0.9878022565014744,0.00022304636155991535
2018-06-13,69,dlo,0.9834928401879874,0.0001466922054431254
2018-06-14,70,dlo,0.9783277661356974,0.00016201196699298305
2018-06-15,71,dlo,0.9711116958724038,0.0002607560857835555
2018-06-16,72,dlo,0.961973527606209,0.00038272712091241444
2018-06-17,73,dlo,0.951873669274693,0.0004389172855610922
2018-06-18,74,dlo,0.9396413277481399,0.0006338887807537478
2018-06-19,75,dlo,0.9221227409985332,0.0014060557350779209
2018-06-20,76,dlo,0.9050004214409564,0.0009537385343245527
2018-06-21,77,dlo,0.8847492806430826,0.00041052495378004686
2018-06-22,78,dlo,0.8588863622909788,0.000566150824111248
2018-06-23,79,dlo,0.8328778421770366,0.0009487949863469186
2018-06-24,80,dlo,0.8029599945028469,0.0016446914779150565
2018-06-25,81,dlo,0.768501133863724,0.0003562468630742455
2018-06-26,82,dlo,0.7334161994978288,0.0003209055026664952
2018-06-27,83,dlo,0.6965698068591696,0.0017549332882656674
2018-06-28,84,dlo,0.656831685182982,0.002002015608522301
2018-06-29,85,dlo,0.6167044002295585,0.0015037921541458355
2018-06-30,86,dlo,0.5756398974321737,0.0017372302622279043
2018-07-01,87,dlo,0.5350023169334972,0.001829991227906297
2018-07-02,88,dlo,0.4936235080202357,0.0011320048242558502
2018-07-03,89,dlo,0.4542302835398807,0.0015157969707251433
2018-07-04,90,dlo,0.41199447717074533,0.0016817149830828202
2018-07-05,91,dlo,0.3753114498443535,0.000705837150610971
2018-07-06,92,dlo,0.33929523197685285,0.000908271767671375
2018-07-07,93,dlo,0.30603614835859294,0.00058533633960001
2018-07-08,94,dlo,0.2722731104553301,0.0008377596140011971
2018-07-09,95,dlo,0.2435939490646577,0.0010952652288693852
2018-07-10,96,dlo,0.21745894324023451,0.00042004988425525656
2018-07-11,97,dlo,0.1909538783908422,0.001042007011798026
2018-07-12,98,dlo,0.17040245146896482,0.0011696344508301544
2018-07-13,99,dlo,0.14934289985019722,0.0004722959072891246
2018-07-14,100,dlo,0.13219728490338056,0.0008006723570797538
2018-07-15,101,dlo,0.11462312717186074,0.000602328345031677
2018-07-16,102,dlo,0.09957612216903067,0.0003307946293677423
