date,day,model,risk_of_additional_cases,monte_carlo_standard_error,risk_of_sustained_transmission,sustained_transmission_monte_carlo_standard_error
2018-04-06,1,sse,0.28805757940095944,0.0013096918954004502,0.0799469558889313,0.002391270370826638
2018-04-07,2,sse,0.28263640772182885,0.000779413611778512,0.07922582901746211,0.0013674699952173617
2018-04-08,3,sse,0.494163607375084,0.001071466890638572,0.15554685624172393,0.0013370281879454967
2018-04-09,4,sse,0.4877160861981332,0.0008968925825170126,0.15447289330847735,0.002508174591012764
2018-04-10,5,sse,0.4794852056833685,0.0009123316392534912,0.1533852078699427,0.0023256273830519537
2018-04-11,6,sse,0.46562187342810113,0.0008869205392097973,0.14467627163268926,0.0008473186908548632
2018-04-12,7,sse,0.8246680155791378,0.0013387527223818168,0.3647530851191906,0.004983130803798457
2018-04-13,8,sse,0.8751448480910218,0.0008418221710701653,0.4098286754236654,0.00474281572571888
2018-04-14,9,sse,0.8684714675109596,0.0007475627545258946,0.4066586036072046,0.0028464351768544725
2018-04-15,10,sse,0.8593705317920026,0.0006825959331579342,0.3924408881099676,0.00426895340262942
2018-04-16,11,sse,0.847756251958902,0.0006187567397366909,0.3841745920922721,0.002477538104243594
2018-04-17,12,sse,0.8307760552677326,0.0004934967877747991,0.35797147533670814,0.0017466088480746146
2018-04-18,13,sse,0.8719501891316496,0.001117129527377373,0.40393261589844487,0.002293027192753622
2018-04-19,14,sse,0.9035858325911573,0.00040573136443082254,0.4422386251642556,0.0020911490382062624
2018-04-20,15,sse,0.9278727207858152,0.0006616205999491394,0.48187797197739635,0.003899186626092854
2018-04-21,16,sse,0.9441237537150231,0.0006700520302764007,0.5149515756546568,0.003831677574586596
2018-04-22,17,sse,0.9345230624879676,0.0005285374966820792,0.4936889713797844,0.006755082571663855
2018-04-23,18,sse,0.9496534206006114,0.000425965294633258,0.5263734838149285,0.004220088623071381
2018-04-24,19,sse,0.9597204530734309,0.0006197264653031482,0.5489982031906586,0.0022806426096100988
2018-04-25,20,sse,0.9675781153444529,0.0004491682564381602,0.5669965372976908,0.0059575050266544695
2018-04-26,21,sse,0.9612056749146063,0.00034058163052442104,0.5423563542592759,0.0044872168441316765
2018-04-27,22,sse,0.9672243479087634,0.00043277090885885674,0.5533700111232913,0.005314174253739019
2018-04-28,23,sse,0.9604095960573276,0.0006550594891387401,0.5325917719606612,0.0053751027461850405
2018-04-29,24,sse,0.9515054766759048,0.00039331736952982836,0.5036687841889798,0.0025027811640878426
2018-04-30,25,sse,0.9391937582174104,0.0004290817180140963,0.4708318894858208,0.004702774729324212
2018-05-01,26,sse,0.9660246345459254,0.00017151680895071905,0.5404371511480732,0.003129263807928874
2018-05-02,27,sse,0.9573505737830489,0.000498469980646577,0.5080792380621342,0.003368908235925506
2018-05-03,28,sse,0.9759721442052918,0.00016673471911411605,0.5684835645189725,0.0028989949981884353
2018-05-04,29,sse,0.9972777825933331,2.9288534991871924e-05,0.7386825531805807,0.0027587878140488986
2018-05-05,30,sse,0.9984612048239839,3.8673384981915135e-05,0.7688869748954295,0.004276494324485449
2018-05-06,31,sse,0.9986882901563461,3.115010596349106e-05,0.7809944572115002,0.005469343143575289
2018-05-07,32,sse,0.9987931828112498,7.2612082622438326e-06,0.7732372020599458,0.002590934479942348
2018-05-08,33,sse,0.9988613105723062,2.2332154810192717e-05,0.7783148281698669,0.003160939686993911
2018-05-09,34,sse,0.9984029381860469,8.862032417520341e-06,0.7640092428073467,0.001102659437410039
2018-05-10,35,sse,0.9992085359231714,1.285696213507611e-05,0.7831517409094491,0.00447361860454158
2018-05-11,36,sse,0.9989020269199572,4.183416154057501e-05,0.7771581209915661,0.007590289582061974
2018-05-12,37,sse,0.9989112741150489,7.4585066311580985e-06,0.781402615558374,0.0032700859217990067
2018-05-13,38,sse,0.9992066008621507,8.96953757560253e-06,0.7894685567296521,0.004250059309386529
2018-05-14,39,sse,0.9994003589816062,9.664320635587463e-06,0.788300641269412,0.004151536397191591
2018-05-15,40,sse,0.9996768589910557,1.647234838864394e-05,0.7959925563211857,0.006601516487436267
2018-05-16,41,sse,0.9998216625082903,6.091372487498153e-06,0.814445936075989,0.005259260997150145
2018-05-17,42,sse,0.9997418490541778,8.711887921026076e-06,0.8031420181217459,0.003991078438814603
2018-05-18,43,sse,0.9997843204024941,2.6646078062100464e-06,0.8052295681153228,0.003589030497711935
2018-05-19,44,sse,0.9998268245769971,6.268573226193196e-06,0.803877995141354,0.0020712235002315698
2018-05-20,45,sse,0.9999026863439539,3.963854264320482e-06,0.8179462780978599,0.005629812582244008
2018-05-21,46,sse,0.9999161868901406,5.258890380370516e-06,0.823024731414389,0.004587208774952633
2018-05-22,47,sse,0.99987272575618,5.427244384339544e-06,0.8122861877811759,0.004813693865130034
2018-05-23,48,sse,0.9997988882882074,1.634441969241084e-06,0.8126157110347529,0.0025607584629818393
2018-05-24,49,sse,0.9996624357325121,1.0501993335377547e-05,0.7962252326890443,0.004870398688532754
2018-05-25,50,sse,0.9994509517466144,4.6252543642029775e-06,0.7962577622374729,0.002984163024627125
2018-05-26,51,sse,0.9990609087869149,8.305619144702063e-06,0.7818727594150757,0.0011005546207012258
