date,day,model,risk_of_additional_cases,monte_carlo_standard_error,risk_of_sustained_transmission,sustained_transmission_monte_carlo_standard_error
2018-04-06,1,ssi,0.28124411792443027,0.00021604650999198374,0.07588710279116395,0.0006245475010268672
2018-04-07,2,ssi,0.2723620414258431,0.00014668049245669443,0.06954823983756808,0.0007445418155053667
2018-04-08,3,ssi,0.9134227225772421,0.0019372680801884171,0.45951371975760447,0.0020293505174514706
2018-04-09,4,ssi,0.8898660170894663,0.004349470282718868,0.3931354856784157,0.005793685448621314
2018-04-10,5,ssi,0.8670912464024139,0.0018412042735145217,0.3336904202149762,0.002724332126706707
2018-04-11,6,ssi,0.8305074659547711,0.0008119812199619386,0.27749069626954526,0.0019769711968108737
2018-04-12,7,ssi,0.9988558032421824,7.699974233731635e-05,0.7625444954995262,0.0038385037709170273
2018-04-13,8,ssi,0.999523274175317,4.946116796513908e-05,0.7900887394659062,0.0060191520641767835
2018-04-14,9,ssi,0.9988879216455133,0.0001503943928142022,0.7063727953378242,0.0016217853059735448
2018-04-15,10,ssi,0.9973971851197142,0.00019725045578550254,0.6361146941694799,0.0006522033637220283
2018-04-16,11,ssi,0.9948638943949062,0.00020268324217456233,0.5501976568282322,0.0013027406959366895
2018-04-17,12,ssi,0.9900317592040351,0.00018296295473147414,0.47251950587434033,0.004620573288876998
2018-04-18,13,ssi,0.9945745412909756,6.003772141785512e-05,0.5221108130200747,0.004723415483907023
2018-04-19,14,ssi,0.9963692750481326,0.00018466486611241485,0.5558033984761731,0.005174445609495449
2018-04-20,15,ssi,0.9978547702182203,0.00012403372175757632,0.5862997799862459,0.003334767698124818
2018-04-21,16,ssi,0.9984539371208725,5.4553239180157245e-05,0.6294795157347084,0.006843873522123189
2018-04-22,17,ssi,0.9967612238672676,0.0001590354303951056,0.5484759842231401,0.004867253303117796
2018-04-23,18,ssi,0.9976464937478758,9.128201140276428e-05,0.5879278337718381,0.0027032948925878
2018-04-24,19,ssi,0.9984167530770665,2.4678457963685298e-05,0.6057787454161339,0.005094317102157198
2018-04-25,20,ssi,0.9988266104170834,3.3654801863490585e-05,0.6451812374610303,0.0014735439850100417
2018-04-26,21,ssi,0.9972092356172885,4.0610357632354435e-05,0.5576697545542009,0.006943656774334272
2018-04-27,22,ssi,0.9978090474892907,0.00011809434975249435,0.5769638548417793,0.0075886414375502045
2018-04-28,23,ssi,0.9955938550609459,0.00013920311658872946,0.5081952252492337,0.0012248212345274216
2018-04-29,24,ssi,0.9912535391091697,0.00041799308784382376,0.423737960036641,0.0022540313973735595
2018-04-30,25,ssi,0.9851072768385962,0.00021338011854797988,0.3717450727485313,0.004347090333883281
2018-05-01,26,ssi,0.9960132816070558,0.00014085071919704662,0.5152281106072392,0.004356426666948676
2018-05-02,27,ssi,0.9923668958053773,0.00018332394821104936,0.44758224868486596,0.0017136261426051909
2018-05-03,28,ssi,0.9981838014237455,4.7278215907060836e-05,0.5911115964661375,0.00549298007328948
2018-05-04,29,ssi,0.9999982323327692,1.7204925760538717e-07,0.9229741609982496,0.003724932391859323
2018-05-05,30,ssi,0.9999995145493108,2.3983888751559594e-07,0.9401772281589099,0.0012061571768223736
2018-05-06,31,ssi,0.9999987056251104,5.954084499922825e-07,0.9128982068280626,0.005480517609654179
2018-05-07,32,ssi,0.9999990355563697,1.3883491717482157e-07,0.8820549121651362,0.0036515053534286724
2018-05-08,33,ssi,0.9999981904477288,6.578073792059474e-07,0.8866013479619264,0.0008011516093448189
2018-05-09,34,ssi,0.999996060151588,1.151206099421379e-06,0.891625223834066,0.001852885448842857
2018-05-10,35,ssi,0.9999976762409981,8.511682833644725e-07,0.8816462729848732,0.001612412778852132
2018-05-11,36,ssi,0.9999936645780577,3.175393851517203e-06,0.8855323666301764,0.002887079841049889
2018-05-12,37,ssi,0.9999955724390127,1.2960778620871757e-06,0.8781315696842042,0.0019397118617086521
2018-05-13,38,ssi,0.9999975857182637,2.6453653824713515e-07,0.8820751553445493,0.004041362248403232
2018-05-14,39,ssi,0.9999981245369969,5.191595185295011e-07,0.8827031764105646,0.006569907420756243
2018-05-15,40,ssi,0.9999991734801836,3.0871674907838553e-07,0.9096934346811496,0.0038627071555259215
