date,day,model,risk_of_additional_cases,monte_carlo_standard_error,risk_of_sustained_transmission,sustained_transmission_monte_carlo_standard_error
2018-04-06,1,sse,0.280179223034814,0.0,0.0,0.0
2018-04-07,2,sse,0.27693051640610733,0.0,0.0,0.0
2018-04-08,3,sse,0.47660525968228784,0.0,0.0,0.0
2018-04-09,4,sse,0.4702016468006277,0.0,0.0,0.0
2018-04-10,5,sse,0.4610775248728932,0.0,0.0,0.0
2018-04-11,6,sse,0.4491568736061152,0.0,0.0,0.0
2018-04-12,7,sse,0.7903585947524683,0.0,0.0,0.0
2018-04-13,8,sse,0.8440475519956561,0.0,0.0,0.0
2018-04-14,9,sse,0.8365874658650316,0.0,0.0,0.0
2018-04-15,10,sse,0.8265437353486323,0.0,0.0,0.0
2018-04-16,11,sse,0.8136872230199148,0.0,0.0,0.0
2018-04-17,12,sse,0.7979340282239892,0.0,0.0,0.0
2018-04-18,13,sse,0.8414177603910573,0.0,0.0,0.0
2018-04-19,14,sse,0.8747166277876113,0.0,0.0,0.0
2018-04-20,15,sse,0.900331184993657,0.0,0.0,0.0
2018-04-21,16,sse,0.920071471633055,0.0,0.0,0.0
2018-04-22,17,sse,0.9099642820194798,0.0,0.0,0.0
2018-04-23,18,sse,0.9265321688046753,0.0,0.0,0.0
2018-04-24,19,sse,0.9395489240026981,0.0,0.0,0.0
2018-04-25,20,sse,0.9498347309072932,0.0,0.0,0.0
2018-04-26,21,sse,0.9415296762323949,0.0,0.0,0.0
2018-04-27,22,sse,0.9506612424873676,0.0,0.0,0.0
2018-04-28,23,sse,0.9416220228458284,0.0,0.0,0.0
2018-04-29,24,sse,0.9305589164124081,0.0,0.0,0.0
2018-04-30,25,sse,0.917148604549765,0.0,0.0,0.0
2018-05-01,26,sse,0.9489557151201882,0.0,0.0,0.0
2018-05-02,27,sse,0.9389660915645945,0.0,0.0,0.0
2018-05-03,28,sse,0.9622930517941463,0.0,0.0,0.0
2018-05-04,29,sse,0.9937693195808488,0.0,0.0,0.0
2018-05-05,30,sse,0.9960777481215414,0.0,0.0,0.0
2018-05-06,31,sse,0.9964877478998784,0.0,0.0,0.0
2018-05-07,32,sse,0.9967744027078272,0.0,0.0,0.0
2018-05-08,33,sse,0.9969626962223552,0.0,0.0,0.0
2018-05-09,34,sse,0.9959273923795257,0.0,0.0,0.0
2018-05-10,35,sse,0.9979383122374352,0.0,0.0,0.0
2018-05-11,36,sse,0.9971349277094678,0.0,0.0,0.0
2018-05-12,37,sse,0.9970998996971805,0.0,0.0,0.0
2018-05-13,38,sse,0.9978672662349378,0.0,0.0,0.0
2018-05-14,39,sse,0.9984157478552881,0.0,0.0,0.0
2018-05-15,40,sse,0.9991457955398314,0.0,0.0,0.0
2018-05-16,41,sse,0.9995333152696139,0.0,0.0,0.0
2018-05-17,42,sse,0.9993007272808504,0.0,0.0,0.0
2018-05-18,43,sse,0.9994508880693946,0.0,0.0,0.0
2018-05-19,44,sse,0.9995623784307894,0.0,0.0,0.0
2018-05-20,45,sse,0.9997459348995763,0.0,0.0,0.0
2018-05-21,46,sse,0.9997914845727456,0.0,0.0,0.0
2018-05-22,47,sse,0.999663091111438,0.0,0.0,0.0
2018-05-23,48,sse,0.9994488273682214,0.0,0.0,0.0
2018-05-24,49,sse,0.9990922000648074,0.0,0.0,0.0
2018-05-25,50,sse,0.9985048941686077,0.0,0.0,0.0
2018-05-26,51,sse,0.9975536625759185,0.0,0.0,0.0
2018-05-27,52,sse,0.9960458722943738,0.0,0.0,0.0
2018-05-28,53,sse,0.9954852987391547,0.0,0.0,0.0
2018-05-29,54,sse,0.9929579367489603,0.0,0.0,0.0
2018-05-30,55,sse,0.9892404861593944,0.0,0.0,0.0
2018-05-31,56,sse,0.9839193426283037,0.0,0.0,0.0
2018-06-01,57,sse,0.9765203717131559,0.0,0.0,0.0
2018-06-02,58,sse,0.975956311937687,0.0,0.0,0.0
2018-06-03,59,sse,0.9664940778424181,0.0,0.0,0.0
2018-06-04,60,sse,0.9543150383646479,0.0,0.0,0.0
2018-06-05,61,sse,0.9390025039748053,0.0,0.0,0.0
2018-06-06,62,sse,0.9202105113060903,0.0,0.0,0.0
2018-06-07,63,sse,0.8976961119120734,0.0,0.0,0.0
2018-06-08,64,sse,0.8713501129098903,0.0,0.0,0.0
2018-06-09,65,sse,0.8412170493977456,0.0,0.0,0.0
2018-06-10,66,sse,0.8075013686326019,0.0,0.0,0.0
2018-06-11,67,sse,0.7705590610765858,0.0,0.0,0.0
2018-06-12,68,sse,0.7308761992033196,0.0,0.0,0.0
2018-06-13,69,sse,0.6890375984794866,0.0,0.0,0.0
2018-06-14,70,sse,0.6456898112733398,0.0,0.0,0.0
2018-06-15,71,sse,0.601502837661966,0.0,0.0,0.0
2018-06-16,72,sse,0.55713441262077,0.0,0.0,0.0
2018-06-17,73,sse,0.5131997477945234,0.0,0.0,0.0
2018-06-18,74,sse,0.47024843853690546,0.0,0.0,0.0
2018-06-19,75,sse,0.4287491256331194,0.0,0.0,0.0
2018-06-20,76,sse,0.38908158345182675,0.0,0.0,0.0
2018-06-21,77,sse,0.35153526714282235,0.0,0.0,0.0
2018-06-22,78,sse,0.3163129967235718,0.0,0.0,0.0
2018-06-23,79,sse,0.28353834510478304,0.0,0.0,0.0
2018-06-24,80,sse,0.2532653672553177,0.0,0.0,0.0
2018-06-25,81,sse,0.22548949187461753,0.0,0.0,0.0
2018-06-26,82,sse,0.20015863638274056,0.0,0.0,0.0
2018-06-27,83,sse,0.17718385597593123,0.0,0.0,0.0
2018-06-28,84,sse,0.15644906820104498,0.0,0.0,0.0
2018-06-29,85,sse,0.1378195895204597,0.0,0.0,0.0
2018-06-30,86,sse,0.12114937341793974,0.0,0.0,0.0
2018-07-01,87,sse,0.10628695140683997,0.0,0.0,0.0
2018-07-02,88,sse,0.09308015357561283,0.0,0.0,0.0
2018-07-03,89,sse,0.08137973063812298,0.0,0.0,0.0
2018-07-04,90,sse,0.07104202181185304,0.0,0.0,0.0
2018-07-05,91,sse,0.06193081865578409,0.0,0.0,0.0
2018-07-06,92,sse,0.053918569706759234,0.0,0.0,0.0
2018-07-07,93,sse,0.04688705867490417,0.0,0.0,0.0
2018-07-08,94,sse,0.040727673325869684,0.0,0.0,0.0
2018-07-09,95,sse,0.035341365275781356,0.0,0.0,0.0
2018-07-10,96,sse,0.030638384271864605,0.0,0.0,0.0
2018-07-11,97,sse,0.026537855056576132,0.0,0.0,0.0
2018-07-12,98,sse,0.022967251114178855,0.0,0.0,0.0
2018-07-13,99,sse,0.01986180767574197,0.0,0.0,0.0
2018-07-14,100,sse,0.017163906315283195,0.0,0.0,0.0
2018-07-15,101,sse,0.014822455190751205,0.0,0.0,0.0
2018-07-16,102,sse,0.012792282288899504,0.0,0.0,0.0
2018-07-17,103,sse,0.011033553715826039,0.0,0.0,0.0
2018-07-18,104,sse,0.009511224925135564,0.0,0.0,0.0
2018-07-19,105,sse,0.008194529594989008,0.0,0.0,0.0
2018-07-20,106,sse,0.0070565084748769324,0.0,0.0,0.0
2018-07-21,107,sse,0.006073578766740417,0.0,0.0,0.0
2018-07-22,108,sse,0.00522514335035007,0.0,0.0,0.0
2018-07-23,109,sse,0.004493238298968305,0.0,0.0,0.0
2018-07-24,110,sse,0.003862096709033702,0.0,0.0,0.0
