date,day,model,risk_of_additional_cases,monte_carlo_standard_error,risk_of_sustained_transmission,sustained_transmission_monte_carlo_standard_error
2018-04-06,1,ssi,0.2776588673032162,0.0,0.0,0.0
2018-04-07,2,ssi,0.26883899687347146,0.0,0.0,0.0
2018-04-08,3,ssi,0.8952858001554911,0.0037366921875086473,0.0,0.0
2018-04-09,4,ssi,0.8766106992654557,0.003580427953194398,0.0,0.0
2018-04-10,5,ssi,0.8522479033487211,0.004054074595066394,0.0,0.0
2018-04-11,6,ssi,0.8251320355530727,0.0028410912086867007,0.0,0.0
2018-04-12,7,ssi,0.9973201794976337,0.00024630163458175556,0.0,0.0
2018-04-13,8,ssi,0.9988130869967659,6.909305141511945e-05,0.0,0.0
2018-04-14,9,ssi,0.9979099701460148,0.00010278478503680414,0.0,0.0
2018-04-15,10,ssi,0.9962080545970732,4.030499048951795e-05,0.0,0.0
2018-04-16,11,ssi,0.9932368419037572,0.00022150234602649028,0.0,0.0
2018-04-17,12,ssi,0.988477307877377,0.0003061063741037864,0.0,0.0
2018-04-18,13,ssi,0.9934739383249818,0.00019593401630487993,0.0,0.0
2018-04-19,14,ssi,0.9952100740139068,0.00016460513145533686,0.0,0.0
2018-04-20,15,ssi,0.9967730685000221,0.00013706056828341636,0.0,0.0
2018-04-21,16,ssi,0.9977073731806222,4.713030602630954e-05,0.0,0.0
2018-04-22,17,ssi,0.9955381629985962,8.441136816565469e-05,0.0,0.0
2018-04-23,18,ssi,0.9967412455799612,5.114019825948862e-05,0.0,0.0
2018-04-24,19,ssi,0.9974443476597618,9.667155439593743e-05,0.0,0.0
2018-04-25,20,ssi,0.9980243894548944,0.00010137998624132151,0.0,0.0
2018-04-26,21,ssi,0.9962858586757544,2.833364322166583e-05,0.0,0.0
2018-04-27,22,ssi,0.997002339582189,0.00012147700325584369,0.0,0.0
2018-04-28,23,ssi,0.9945073780626235,0.00018514257158475905,0.0,0.0
2018-04-29,24,ssi,0.9899918944985927,0.00018992690684736192,0.0,0.0
2018-04-30,25,ssi,0.9834025717509771,0.00036704247240862506,0.0,0.0
2018-05-01,26,ssi,0.994673861806646,0.00011414769847115062,0.0,0.0
2018-05-02,27,ssi,0.9906723353835019,0.0001613040673464555,0.0,0.0
2018-05-03,28,ssi,0.9972955968339826,0.00014791755991905937,0.0,0.0
2018-05-04,29,ssi,0.9999865905795408,1.4260315881562634e-06,0.0,0.0
2018-05-05,30,ssi,0.9999963664062068,9.095985246256532e-07,0.0,0.0
2018-05-06,31,ssi,0.9999939303983497,9.298091295129962e-07,0.0,0.0
2018-05-07,32,ssi,0.9999928686660003,9.812037201329731e-07,0.0,0.0
2018-05-08,33,ssi,0.9999913376865451,1.5222752748933232e-06,0.0,0.0
