date,day,model,risk_of_additional_cases,monte_carlo_standard_error,risk_of_additional_transmission,transmission_monte_carlo_standard_error,risk_of_sustained_transmission,sustained_transmission_monte_carlo_standard_error
2018-04-06,1,ssi_so,0.2778870207945723,0.0,0.2433886642326638,0.0,0.0,0.0
2018-04-07,2,ssi_so,0.26881295962116014,0.0,0.21993341196865035,0.0,0.0,0.0
2018-04-08,3,ssi_so,0.8946537432565089,0.0025445210810761095,0.8210798592946952,0.0038844129783105505,0.0,0.0
2018-04-09,4,ssi_so,0.875083703476516,0.004977504177785699,0.774007984130596,0.005474875502250475,0.0,0.0
2018-04-10,5,ssi_so,0.8538382421288251,0.0022187597698325456,0.7224330064474533,0.00335514822966701,0.0,0.0
2018-04-11,6,ssi_so,0.8229972046148273,0.003460533179088555,0.6593715401925202,0.004212931840248351,0.0,0.0
2018-04-12,7,ssi_so,0.9973568296359652,6.747929966467552e-05,0.9778775814168803,0.00011000322320508675,0.0,0.0
2018-04-13,8,ssi_so,0.9988393340753763,3.087870933908621e-05,0.9836180322144008,0.00018030047782000542,0.0,0.0
2018-04-14,9,ssi_so,0.9981127794398611,0.0001260475171029686,0.9723358753229856,0.0005517330783125805,0.0,0.0
2018-04-15,10,ssi_so,0.9964484517492138,0.00029854130279424854,0.9532013988523104,0.0016813549244714362,0.0,0.0
2018-04-16,11,ssi_so,0.9934179126513994,0.0001391295048318505,0.9243489346516379,0.0008576168172211295,0.0,0.0
2018-04-17,12,ssi_so,0.9884911531609601,0.00027892723850984343,0.8871443684190277,0.00027220170546981626,0.0,0.0
2018-04-18,13,ssi_so,0.9934200588677018,0.00016553077831087264,0.9183278125340074,0.0005131391772978072,0.0,0.0
2018-04-19,14,ssi_so,0.9954786754786958,0.00011020852278124539,0.9364810033432538,0.0006893880860845856,0.0,0.0
2018-04-20,15,ssi_so,0.9966064532973256,0.00012090369297177998,0.9470584517622778,0.0004113082543198476,0.0,0.0
