date,day,model,risk_of_additional_cases,monte_carlo_standard_error,risk_of_sustained_transmission,sustained_transmission_monte_carlo_standard_error
2018-04-06,1,sse,0.28520188848443107,0.0008113761861760789,0.07870168557418122,0.0014522461042016399
2018-04-07,2,sse,0.28290763743100766,0.0007606573973593224,0.07698069069521407,0.0012506970862482152
2018-04-08,3,sse,0.49514190580603956,0.0009114421013517333,0.15852359835431484,0.0018594117711292534
2018-04-09,4,sse,0.48759955192901294,0.0011768811059723497,0.1519419633191753,0.0020222136734982625
2018-04-10,5,sse,0.475764372362365,0.0011100046550304775,0.1464243925405848,0.001478985516522678
2018-04-11,6,sse,0.4650363304897883,0.000966979590149324,0.14166720923365306,0.0008670985224683098
2018-04-12,7,sse,0.8218486596067054,0.0008890973939279188,0.35455238139280865,0.0027036569862240326
2018-04-13,8,sse,0.8749169975575972,0.0016026481633146354,0.4187155986945499,0.00893920340222255
2018-04-14,9,sse,0.8678265800271059,0.0003873870503823256,0.4035578668689733,0.0004672305215987115
2018-04-15,10,sse,0.8586025626417859,0.0006689361358372027,0.39062811577997114,0.0026562779786790344
2018-04-16,11,sse,0.8465396977654256,0.0002498037320178262,0.38365412391273856,0.002274734016304748
2018-04-17,12,sse,0.8312480236018438,0.002094929920242468,0.36366256469563407,0.007403949636157032
2018-04-18,13,sse,0.8721338470843418,0.0005990329647651872,0.4044539673856643,0.0011491489545162902
2018-04-19,14,sse,0.9039590901672104,0.0008644236134650111,0.4459626914696382,0.004813650081768681
2018-04-20,15,sse,0.926509579250174,0.0007581560491165346,0.48014652011541403,0.0023788630822602526
2018-04-21,16,sse,0.9433071807114308,0.00033544272062376675,0.5060674999403842,0.0027881293284882044
2018-04-22,17,sse,0.9347698015789544,0.0003653812106749771,0.49049383085736853,0.0031396850437452354
2018-04-23,18,sse,0.9491906623423311,0.0005377623112950723,0.5245721563272489,0.005117880822068334
2018-04-24,19,sse,0.9596141444803006,0.0004410034471957266,0.5455788221719662,0.004651393131978552
2018-04-25,20,sse,0.9679570022205146,0.00017490617655734503,0.5654915680521475,0.0032648480239629366
2018-04-26,21,sse,0.9606939275366358,0.0001691848787956082,0.5389128489837389,0.002027806079106661
2018-04-27,22,sse,0.9677624971313914,0.00011866382921774746,0.5602821267609159,0.002534302095465661
2018-04-28,23,sse,0.9597057528318036,0.0001763135330715001,0.5326410484136073,0.0032208541311871965
2018-04-29,24,sse,0.9497307793112673,0.0004511491149089294,0.4978094178115856,0.0017792376736000225
2018-04-30,25,sse,0.9387924310780972,0.00023977076841552166,0.4685114767857357,0.002804542192714469
2018-05-01,26,sse,0.9658688828703424,0.0004474455300022476,0.5366674438287227,0.007812327992711445
2018-05-02,27,sse,0.9573123672265745,0.00031362818410834536,0.5108340021384572,0.0037187312447696007
2018-05-03,28,sse,0.9757547711696949,0.0002786846221059717,0.5670654140104053,0.0028947692212175154
2018-05-04,29,sse,0.9973849292753156,7.765624131335472e-05,0.7436996646332201,0.0036868095928094843
2018-05-05,30,sse,0.998487013435347,2.412262612476424e-05,0.7700592957777067,0.0029863622854879378
2018-05-06,31,sse,0.9986665626858616,1.0088217198582901e-05,0.7801408679812263,0.0013808935114746658
2018-05-07,32,sse,0.9987636758152603,4.406500451972699e-05,0.7799466883718783,0.00667350262901335
2018-05-08,33,sse,0.9988481979979028,1.4586887210402163e-05,0.7764473779320133,0.002387462293322968
2018-05-09,34,sse,0.9983267596697678,3.32740596580819e-05,0.7511316784003617,0.0029389613576552447
2018-05-10,35,sse,0.9992305857460022,1.7112478294583174e-05,0.7851458763729648,0.0017278455197239921
2018-05-11,36,sse,0.998852334033937,2.5614351163140188e-05,0.7622214358080281,0.004413875911970688
2018-05-12,37,sse,0.9988094412083424,2.9381624855511448e-05,0.7495837004433943,0.0038733001125328356
2018-05-13,38,sse,0.9991681198429645,1.158359053066002e-05,0.7663221327303467,0.0033250968039872444
2018-05-14,39,sse,0.9994177840821958,1.1522497454447192e-05,0.7837223041172476,0.004606963238085004
2018-05-15,40,sse,0.9997171103455834,3.904322694308989e-06,0.8064633327912729,0.0029197826303831065
2018-05-16,41,sse,0.99986471946982,3.572533928361566e-06,0.8343514190419785,0.0036517612845847116
2018-05-17,42,sse,0.999763583748991,4.822237219828746e-06,0.8040248548515713,0.0032096929771866876
2018-05-18,43,sse,0.9998231471915541,5.1245838970328085e-06,0.8114628084009288,0.004196767733986529
2018-05-19,44,sse,0.9998688729294852,1.2226018848418845e-06,0.8273957051498896,0.0013697286124098706
2018-05-20,45,sse,0.9999284245507438,1.1611130037905634e-06,0.8359672852833755,0.001826940017558731
2018-05-21,46,sse,0.9999412667328601,4.30992265383126e-07,0.8366025175920617,0.0035093632771444746
2018-05-22,47,sse,0.9998944404038816,5.203672844548012e-06,0.8130349659503572,0.0069274589052384416
