date,day,model,risk_of_additional_cases,monte_carlo_standard_error,risk_of_sustained_transmission,sustained_transmission_monte_carlo_standard_error
2018-04-06,1,sse,0.286009266500566,0.0011912243902329127,0.08036352647452727,0.0005406453270331164
2018-04-07,2,sse,0.286564689863695,0.000629776970407393,0.08380981022454626,0.0007859251360623476
2018-04-08,3,sse,0.5115225565417907,0.0017434399304562286,0.16753641539292186,0.0019038928174538445
2018-04-09,4,sse,0.5061079027031606,0.0004955441045969499,0.16817256303630435,0.001395286448536191
2018-04-10,5,sse,0.4949283962699882,0.00043903084412704976,0.16442771677749846,0.0008585710449739911
2018-04-11,6,sse,0.483910786034935,0.002591763079794997,0.1582981722480712,0.004021800566719284
2018-04-12,7,sse,0.8446622906184286,0.0010444323247519368,0.4072182369551569,0.0018533070791005295
2018-04-13,8,sse,0.9051732636090093,0.0009422918746062027,0.4854535201581499,0.002417167446624715
2018-04-14,9,sse,0.8999101557928807,0.0010204156562423421,0.4864482119161464,0.005588560490280349
2018-04-15,10,sse,0.8894013196994685,0.001239862891229677,0.45878692581418934,0.004277928590719795
2018-04-16,11,sse,0.8769295232789858,0.0013348396006129743,0.44482793423964706,0.003311175083626295
2018-04-17,12,sse,0.8629592741999638,0.0010193180417715467,0.42226452348351085,0.0020192142830384903
2018-04-18,13,sse,0.9116117604890039,0.0015730139291403817,0.4920993417289783,0.005146514207753014
2018-04-19,14,sse,0.9426716372530035,0.0009032497852129606,0.552255104759324,0.0037968946222405892
2018-04-20,15,sse,0.9656887120475093,0.0004593989682145134,0.6289262577304795,0.0051860610206614895
2018-04-21,16,sse,0.9789348488615452,0.0006310539910988487,0.6866391609291393,0.005834626702384757
2018-04-22,17,sse,0.9740026753189553,0.00018824373901189047,0.6554306763532106,0.0041578421232445414
2018-04-23,18,sse,0.9826472181564185,0.0002731521141828998,0.6913624399099596,0.004790492730048676
2018-04-24,19,sse,0.9895121793823971,0.0003454174933244362,0.73578905081217,0.004419205172409409
2018-04-25,20,sse,0.9931214905465486,0.00029935662403040545,0.7669426279301658,0.005704705569136954
2018-04-26,21,sse,0.9909752688427069,0.00013591388945475392,0.7389081419833923,0.0041684568275521605
2018-04-27,22,sse,0.9941619941908766,0.0001006483946092539,0.765837865012749,0.003035843249407447
2018-04-28,23,sse,0.9914809740976559,0.00013834517590948243,0.737553796961277,0.003295153375067863
2018-04-29,24,sse,0.988602141762541,0.0002698864596477583,0.7075526404400612,0.0021281484134063992
2018-04-30,25,sse,0.9832366827242279,0.0001985049493220274,0.6614182587865249,0.003455908042079711
2018-05-01,26,sse,0.9935586268585275,0.00016996247251473208,0.7392367197057815,0.005798133048261158
2018-05-02,27,sse,0.9903586140741152,0.0002531029502560555,0.6969748159473497,0.006459351242022338
2018-05-03,28,sse,0.9963238930330471,0.0001826951506171216,0.7733996249275571,0.006131454271847657
