date,day,model,risk_of_additional_cases,monte_carlo_standard_error,risk_of_sustained_transmission,sustained_transmission_monte_carlo_standard_error
2018-04-06,1,ssi,0.2872266922020533,0.0017577439864659393,0.0899851612103455,0.002145126784654177
2018-04-07,2,ssi,0.27268735992428395,0.0024703879211461117,0.07884287178174842,0.0010502187529896337
2018-04-08,3,ssi,0.9174020687901392,0.001266670383699705,0.4735849341968831,0.005192191264259021
2018-04-09,4,ssi,0.8957205197608455,0.001177062282914845,0.43490211632034426,0.00618462288994383
2018-04-10,5,ssi,0.8682745843857456,0.003791446049109607,0.3758341560590459,0.005055546783814434
2018-04-11,6,ssi,0.8409447086296787,0.0024365038813259645,0.32743371708771196,0.005509463916728988
2018-04-12,7,ssi,0.9990625296362792,4.8752537387298096e-05,0.7373134336697399,0.003430839483903608
2018-04-13,8,ssi,0.9995920024935333,4.833735994796405e-05,0.753584208267392,0.006766769386202283
2018-04-14,9,ssi,0.9989264650502991,8.962526961202538e-05,0.7030232298006408,0.007648296903743358
2018-04-15,10,ssi,0.9976225856500487,0.00010171216741311659,0.6371252416222768,0.004219024814564719
2018-04-16,11,ssi,0.995154362326263,0.0001363194213400903,0.5680627059658216,0.004245029402012654
2018-04-17,12,ssi,0.9905976087937495,0.0002138270797254458,0.4836617026800364,0.00762958239331508
2018-04-18,13,ssi,0.9945561225600037,0.00014497861460882294,0.5362208246711511,0.005875292748518101
2018-04-19,14,ssi,0.9961930492649805,0.00012988754601805472,0.5745992418775754,0.007558335312986241
2018-04-20,15,ssi,0.9975551850224429,2.6452902984441963e-05,0.6146416042796213,0.004612868034080972
2018-04-21,16,ssi,0.9978839976157139,4.0373029472742966e-05,0.6359728684295094,0.0047565947334479745
2018-04-22,17,ssi,0.9959692997967644,0.00014591159042853257,0.5708002429156642,0.0056699610239570875
2018-04-23,18,ssi,0.9968686441604061,0.00018226936961623225,0.6046032255927322,0.008223714019217667
2018-04-24,19,ssi,0.9975360668573974,0.00019172796717277429,0.6345423432594843,0.010510056427604894
2018-04-25,20,ssi,0.9978992280468931,7.78851236925591e-05,0.6649848953471524,0.008677894183057533
2018-04-26,21,ssi,0.9954338455974777,0.00010394115584599221,0.5679191508002792,0.005647621073919801
2018-04-27,22,ssi,0.9966150466751432,0.0001984362817506524,0.602363964105995,0.0035351889536769376
2018-04-28,23,ssi,0.9917461438114844,0.0001815731795032556,0.5200646712475371,0.009736301679867916
2018-04-29,24,ssi,0.9840962613630796,0.00029030094926267395,0.42876365296021857,0.00464563370087354
2018-04-30,25,ssi,0.9711456603505205,0.0003600603775568429,0.3520310650169506,0.002049024693135241
2018-05-01,26,ssi,0.9919649994962548,0.00019135743360639001,0.5326652684492665,0.0011683899749908152
2018-05-02,27,ssi,0.9850718971447527,0.00022354598180421338,0.4513892812358492,0.009412427104968757
2018-05-03,28,ssi,0.9966596115682267,0.0003855767404877485,0.6148244802560641,0.004937812161455026
2018-05-04,29,ssi,0.9999976157139943,6.954620765611325e-07,0.9109032871188069,0.004182529158396541
2018-05-05,30,ssi,0.9999990281362823,6.073644726911259e-07,0.9250575708619757,0.004805774777335423
2018-05-06,31,ssi,0.9999978810386375,6.262985721100903e-07,0.8969768695100295,0.006498022025893571
2018-05-07,32,ssi,0.9999953811828026,1.915202442907267e-06,0.8821768498930669,0.005126334448608056
2018-05-08,33,ssi,0.9999950826938638,1.4562989730168785e-06,0.8793386362591502,0.0018916414669089378
2018-05-09,34,ssi,0.9999834045786241,3.459899640750133e-06,0.8965378692619921,0.004476023624525831
2018-05-10,35,ssi,0.9999957426726367,1.307825719417559e-06,0.8960056206216115,0.0032379567278641368
2018-05-11,36,ssi,0.9999851166880246,4.564900191963389e-06,0.8832553178745127,0.003731019874120611
2018-05-12,37,ssi,0.9999814516367088,8.7023028112011e-06,0.8941440368632722,0.004475636666780955
2018-05-13,38,ssi,0.9999838017310884,9.636537002378868e-06,0.8986466625518162,0.00548695887128886
2018-05-14,39,ssi,0.999994382064879,1.9315801506139355e-06,0.9062278403881612,0.003442252071955951
2018-05-15,40,ssi,0.999997665942567,1.129034952315707e-06,0.9242794272325767,0.003064247090332187
2018-05-16,41,ssi,0.9999951131642824,3.479792253088867e-06,0.9323215614988675,0.0016279474034810284
2018-05-17,42,ssi,0.9999788962318974,1.2326639120253208e-05,0.9107047431768756,0.003462316997146867
2018-05-18,43,ssi,0.9999906329606733,4.2484336572767505e-06,0.9113366608718748,0.007236547649747167
2018-05-19,44,ssi,0.999994221007472,2.521924569012009e-06,0.9255431688553257,0.0028910082439434783
2018-05-20,45,ssi,0.9999987330095454,7.503136475483048e-07,0.9405357566599224,0.0013348853423581937
2018-05-21,46,ssi,0.9999950916371565,2.4052293572126438e-06,0.9273027758033834,0.0035389450106802127
2018-05-22,47,ssi,0.9999632256804896,3.2581627594657184e-05,0.9112291003236643,0.0031291471129684706
2018-05-23,48,ssi,0.9999482601656353,1.9097413548669322e-05,0.878620373420885,0.006586019765538794
2018-05-24,49,ssi,0.9998881074762948,1.2496608317529445e-05,0.8400456935988555,0.006539878062346504
2018-05-25,50,ssi,0.9995967619353571,6.904021217221394e-05,0.7926939992163649,0.005617655458725977
2018-05-26,51,ssi,0.9989408185126054,0.00011987120166686454,0.7295144546969786,0.006516565630806788
2018-05-27,52,ssi,0.9974673089739361,0.00019715376329667404,0.6442027604012444,0.005260505976292573
2018-05-28,53,ssi,0.9976439187226686,0.0003269891809965493,0.6704683553449238,0.009099556941111845
2018-05-29,54,ssi,0.995158674281806,0.00014319595932301115,0.5975089663471432,0.00749746322506398
2018-05-30,55,ssi,0.9916463667232811,0.0006014057710370011,0.5498284011118066,0.01134114845170029
2018-05-31,56,ssi,0.9850487853851644,0.0002878607751214067,0.47268889727692975,0.00847918305968505
2018-06-01,57,ssi,0.9761109681057781,0.0007503873895939628,0.41416189875964315,0.0038775384177924172
2018-06-02,58,ssi,0.9798443598544506,0.0012602178657363206,0.4674773388787371,0.004918928341869203
2018-06-03,59,ssi,0.9711126829773282,0.00046095186931551326,0.40593763506847136,0.002859310788437565
2018-06-04,60,ssi,0.9556772147984695,0.00154277228629828,0.3726407839522847,0.006394059136686528
2018-06-05,61,ssi,0.9398904930536869,0.0004442566504217667,0.3284220059593377,0.004493909410738439
2018-06-06,62,ssi,0.9150161738537557,0.00235420636733786,0.28511545117204506,0.006743983884893815
2018-06-07,63,ssi,0.8908129343162734,0.0029482006489036762,0.24943621288505635,0.005909773136471985
2018-06-08,64,ssi,0.8612345562248845,0.003938559211979652,0.22056649217601443,0.0043381890502785
2018-06-09,65,ssi,0.8285541929463501,0.0037300506210005704,0.19480265504684136,0.00699783290511969
2018-06-10,66,ssi,0.785693556004111,0.004496584938665709,0.16024378681802554,0.0065435210517025754
2018-06-11,67,ssi,0.7492747613327931,0.0012495081624521326,0.14800963091005392,0.004499564506733688
2018-06-12,68,ssi,0.7111119156684631,0.0044011738553245295,0.12361309290734879,0.003734789804064598
2018-06-13,69,ssi,0.6624086187934393,0.0048055402377162335,0.10908246535931754,0.0038174577186904776
2018-06-14,70,ssi,0.6318414084567847,0.0033474700523151474,0.10190789337875694,0.001984688960819559
2018-06-15,71,ssi,0.5785544432274318,0.0038622270237881084,0.0857768105899217,0.0037522537107581265
2018-06-16,72,ssi,0.534131743696596,0.007103595568660811,0.07310164627628135,0.003912791355154358
2018-06-17,73,ssi,0.4887185212845091,0.005988432011817212,0.06719198196673559,0.0025018862938229972
2018-06-18,74,ssi,0.44582483031030506,0.0033006510805135016,0.055934612275486684,0.00042828062805713414
2018-06-19,75,ssi,0.41072583255290307,0.004549519032147545,0.05145222017825812,0.0022624307994201336
2018-06-20,76,ssi,0.3749430204929012,0.00673687848662249,0.04405942649232408,0.0017737983249413293
2018-06-21,77,ssi,0.3371565822138185,0.0046187679883645015,0.04027543091886465,0.0021767744180882097
2018-06-22,78,ssi,0.300463083244352,0.005707958853304033,0.03379720738562697,0.0021002128483920733
2018-06-23,79,ssi,0.2664432762400071,0.001492204087829772,0.028670326032891658,0.0006223614059639463
2018-06-24,80,ssi,0.23560948332897214,0.002434614312051359,0.024346707721322303,0.0013646258010775994
2018-06-25,81,ssi,0.20965194729913306,0.0026908263993026312,0.020650169775538574,0.000540543134587143
2018-06-26,82,ssi,0.18730042781330802,0.0014084979035728128,0.019228385115797386,0.00023542531013112986
2018-06-27,83,ssi,0.16757784892781458,0.0013112769445363325,0.01713288618022457,0.0008251035136280893
2018-06-28,84,ssi,0.14347512430197407,0.0037345404980642385,0.013651517317393225,0.001024025097270697
2018-06-29,85,ssi,0.12538921649133916,0.00166592697304391,0.011527461881867151,0.00038613251194285727
2018-06-30,86,ssi,0.11200065903427803,0.001215026131695213,0.010447832790024036,0.0003417366439505718
2018-07-01,87,ssi,0.10020089171077662,0.0009083234098718125,0.009551973058360419,0.00018060260807758314
2018-07-02,88,ssi,0.08408936273927403,0.0010186596068909055,0.007528897811534874,0.00022765411246591238
2018-07-03,89,ssi,0.073394890043465,0.0007375369037782195,0.006698947901061403,0.000361255715743166
2018-07-04,90,ssi,0.06608111749384482,0.0015542516775014972,0.006382845441359475,0.00027037610400143075
