date,day,model,risk_of_additional_cases,monte_carlo_standard_error,risk_of_additional_transmission,transmission_monte_carlo_standard_error,risk_of_sustained_transmission,sustained_transmission_monte_carlo_standard_error
2018-04-06,1,ssi_so,0.28228305441561463,0.001027373215890034,0.24999607442209792,0.0010937852142800073,0.07639562544997858,0.0016581589296940718
2018-04-07,2,ssi_so,0.2702261218712738,0.0011796631090329282,0.22438272174493334,0.0012847188316831974,0.06758107069652808,0.0020886797648094592
2018-04-08,3,ssi_so,0.9125863217644059,0.002453621380405895,0.8572291422000753,0.002715638249126722,0.45543606315572227,0.0028163366184119276
2018-04-09,4,ssi_so,0.8934695914133745,0.0035962456669570582,0.8110975885986309,0.004347566982734984,0.38859054048503705,0.00374489353291854
2018-04-10,5,ssi_so,0.8679290859483486,0.0024450251526628923,0.7559568538871146,0.003771721999474501,0.33288901774067736,0.005840417088363028
2018-04-11,6,ssi_so,0.8323649273763235,0.0005322001180518489,0.6888450819503844,0.001355013222004839,0.2796367066522226,0.004510381673640925
2018-04-12,7,ssi_so,0.9987463990158382,5.379056635409258e-05,0.9901475950728913,0.00012221792957999104,0.7559251826993189,0.004486626801759455
2018-04-13,8,ssi_so,0.9995352351289072,4.2623120597761915e-05,0.9937802492860701,0.0003418860159984194,0.7869746166785967,0.005972268699206856
2018-04-14,9,ssi_so,0.9988666231877972,9.183767169278391e-05,0.9856107058159033,0.0005352196639150775,0.7150295005354061,0.0068202329075004835
2018-04-15,10,ssi_so,0.9972381059757341,9.553323904663086e-05,0.9694227146299906,0.0005039920847828442,0.6317116778904253,0.005416958393237946
2018-04-16,11,ssi_so,0.9948505755909525,0.00017473182940092795,0.9460983687355058,0.00046780586600871543,0.5397018690480356,0.003211651161615807
2018-04-17,12,ssi_so,0.9905437752435637,0.00018055905959502114,0.9139909576187969,0.0009559859501928687,0.4744515586243604,0.004810146487538026
2018-04-18,13,ssi_so,0.9941155557657438,0.00017524091758443038,0.9381028904821935,0.0005879142363357624,0.5127081364121595,0.003946355343652926
2018-04-19,14,ssi_so,0.9966319210231782,9.028931733030846e-05,0.9552027203486699,0.0006374347207476148,0.557275265301221,0.004986553355406409
2018-04-20,15,ssi_so,0.9977775268306326,6.223627729714176e-05,0.9675244890668999,0.0003814322670437019,0.604760194452495,0.00423624563482035
2018-04-21,16,ssi_so,0.9984560020138894,6.267171910015781e-05,0.9733217808859592,0.0006691845592596948,0.6222163484723331,0.005945715747115699
2018-04-22,17,ssi_so,0.9966126606490731,9.044073967205267e-05,0.9526685031703965,0.0006860326094568847,0.5479130075748916,0.0019854768333254407
2018-04-23,18,ssi_so,0.9978231891080663,4.934202187206519e-05,0.9651162824155866,0.0003759355967510594,0.5862220821198079,0.003708911147311905
2018-04-24,19,ssi_so,0.9983274740879128,0.00010994978423980127,0.9709186950059832,0.00043987032294121037,0.6057877556220297,0.004292436455341509
2018-04-25,20,ssi_so,0.9987563527957631,6.571468076104088e-05,0.9775958995444706,0.0009477609678873673,0.6337315555502047,0.003933248725852002
2018-04-26,21,ssi_so,0.9973592993315371,9.305792446316195e-05,0.9589617836699244,0.0009808045630012529,0.5521916486719959,0.006845412784142636
2018-04-27,22,ssi_so,0.9980786692020965,9.378635891021734e-05,0.9679156295329804,0.0010443285306155395,0.5770986156394016,0.0042657463705938845
2018-04-28,23,ssi_so,0.995944947657329,6.272964718504288e-05,0.9445362419960639,0.0004089624962029882,0.5066546264941618,0.005942288978127876
2018-04-29,24,ssi_so,0.9917458168625417,0.0001917843782798649,0.9099738774919295,0.0003818662636361517,0.43206741806871485,0.004231915680782543
2018-04-30,25,ssi_so,0.9848165317535152,0.00018480185634211726,0.8648788247803539,0.0009599247042740835,0.3697096408225454,0.0014980997528073537
2018-05-01,26,ssi_so,0.9962414137906641,6.315156967418928e-05,0.9532486019599569,0.000853111531102037,0.519650821783225,0.005639424072124894
2018-05-02,27,ssi_so,0.9925179223319773,8.184751528330006e-05,0.9242915712781433,0.0009595182199827569,0.44452935318835174,0.0048440809481742455
2018-05-03,28,ssi_so,0.9981411613291303,5.913889276940361e-05,0.9737255387069403,0.0003515868479974145,0.5881388162103307,0.0029688384970742655
2018-05-04,29,ssi_so,0.9999979433748392,5.942857555720214e-07,0.9998243962082399,1.41524334505219e-05,0.9215690474244876,0.0019212923623602956
2018-05-05,30,ssi_so,0.9999995315482739,1.1906883535882469e-07,0.9998979232795036,2.0396415633523854e-05,0.9379109723450505,0.0028385928909700625
2018-05-06,31,ssi_so,0.9999995677046094,7.530815467276644e-08,0.9998703095818626,1.3863126743888303e-05,0.9134477804056844,0.0025176076708981455
2018-05-07,32,ssi_so,0.9999981979709825,8.719138073708323e-07,0.999681636063602,2.8984848714704265e-05,0.8775574379763341,0.003557356328005614
2018-05-08,33,ssi_so,0.999996931178477,5.688562888175113e-07,0.9995320890368594,3.627005066925726e-05,0.8467305236483987,0.0027387093298494826
2018-05-09,34,ssi_so,0.999987046574063,2.556906558528216e-06,0.9983722485616672,9.719014612769822e-05,0.7707100592942496,0.005555174982405442
2018-05-10,35,ssi_so,0.9999983120773209,6.118896969760167e-07,0.9996290148713723,3.4855840108192686e-05,0.8367095827503561,0.0018482496504431455
2018-05-11,36,ssi_so,0.9999919001377245,1.2528911410955665e-06,0.9987081382955936,1.978171737759259e-05,0.7700477784639348,0.0021626592969414458
2018-05-12,37,ssi_so,0.9999856664218979,1.5781366059802305e-06,0.9981750487525006,5.376218392126503e-05,0.7500496458784061,0.004067996743322651
2018-05-13,38,ssi_so,0.9999930894831142,7.167520229294166e-07,0.9989091042378805,1.3718744406101668e-05,0.7713737373859337,0.005046241647720512
2018-05-14,39,ssi_so,0.9999957259109455,1.4193962203041028e-06,0.9993014715041211,5.273193016906504e-05,0.7889837981285547,0.004878262212130805
2018-05-15,40,ssi_so,0.9999992923054931,9.918833816615557e-08,0.999798223171741,7.478353282505133e-06,0.8350411413320324,0.005219963156311632
2018-05-16,41,ssi_so,0.9999998356513773,6.252573404255724e-08,0.999940069439261,9.595160220866909e-06,0.8488759860719439,0.00330515376594671
2018-05-17,42,ssi_so,0.9999987654458318,2.4480007107541115e-07,0.999686012084576,2.3320097697447693e-05,0.8239135636042833,0.006455680039832537
2018-05-18,43,ssi_so,0.9999988420346072,3.1697106556879815e-07,0.9997549461125884,1.8188033512396054e-05,0.831642721874858,0.0024794133159812253
2018-05-19,44,ssi_so,0.9999992286093886,9.537536030267216e-08,0.9998082174174799,7.674397352487393e-06,0.8339480582797707,0.0032795070920548005
2018-05-20,45,ssi_so,0.9999998489774965,2.5559766462910398e-08,0.9999288816684662,2.5686948782196245e-06,0.8415510438036132,0.0025434408362271245
2018-05-21,46,ssi_so,0.9999999222473565,1.9372898782349516e-08,0.9999447819864427,2.8532965902623295e-06,0.8410118456749451,0.0035107685697505645
2018-05-22,47,ssi_so,0.9999990643338185,6.77854967896964e-08,0.9997722499359044,1.0324114850936598e-05,0.8345908992050359,0.003261848883568385
2018-05-23,48,ssi_so,0.9999909109022409,1.6168957177364976e-06,0.9990442493939671,7.487632960139776e-05,0.8092403483289162,0.0018027633236507368
2018-05-24,49,ssi_so,0.9999591686231509,4.8327204215558355e-06,0.9974695708258766,0.00014209455564095924,0.7889973535472449,0.004169032572847315
2018-05-25,50,ssi_so,0.999854181269794,9.206789041695395e-06,0.9940220365599034,9.541518073076142e-05,0.7510113013463571,0.0021352857206419456
