date,day,model,risk_of_additional_cases,monte_carlo_standard_error,risk_of_sustained_transmission,sustained_transmission_monte_carlo_standard_error
2018-04-06,1,cori,0.6172907685755262,0.0018278768883846453,0.3112042579243547,0.0034317203133324503
2018-04-07,2,cori,0.6097842380682822,0.0030314856613381366,0.30503757680789045,0.004696086533926546
2018-04-08,3,cori,0.9102824429287586,0.0018428817549395631,0.6759839148527853,0.004685871052641394
2018-04-09,4,cori,0.9021178716951014,0.001865829939071172,0.653944548839286,0.005569950460318774
2018-04-10,5,cori,0.8882066073688121,0.0012655562340314567,0.6187382833606228,0.004934421845146882
2018-04-11,6,cori,0.872176195841079,0.0017685077989603884,0.5900143888145915,0.0044973474010192435
2018-04-12,7,cori,0.9997257820153848,4.772093281770501e-05,0.9900716170598671,0.001048046122610982
2018-04-13,8,cori,0.9999786105598429,6.23461122162533e-06,0.9976639694680287,0.000471273760877442
2018-04-14,9,cori,0.9999604845784719,8.308399126277285e-06,0.9963493164409563,0.0008452368816675371
2018-04-15,10,cori,0.9997715177010645,8.719377510900392e-05,0.9908450274049885,0.0016302175259361826
2018-04-16,11,cori,0.9997040362085096,4.271223314259305e-05,0.9826025484174984,0.0024428133016277677
2018-04-17,12,cori,0.999173968180303,4.013643531632386e-05,0.9631828153703356,0.0011345192517619996
2018-04-18,13,cori,0.9997719504036148,2.2635341628325834e-05,0.9791660458627091,0.002089709790859418
2018-04-19,14,cori,0.999919626963289,2.742063116881824e-05,0.987921890746439,0.0022381992202451036
2018-04-20,15,cori,0.9999883088659652,2.4559692875866727e-06,0.9948051811173957,0.0012211740387986212
2018-04-21,16,cori,0.9999960644132195,1.7492756540726554e-07,0.9969113243063146,0.0002843176673531398
2018-04-22,17,cori,0.9999835712338648,1.2472955914727203e-06,0.9911601162889461,0.00019359631609357886
2018-04-23,18,cori,0.9999919197413629,2.3684144426602738e-06,0.9930284655353925,0.000887202427360977
2018-04-24,19,cori,0.999995126245601,1.6967637729003893e-06,0.9948007374675306,0.0007999611529558729
2018-04-25,20,cori,0.999997822569136,1.0407940774500105e-06,0.9959324945560295,0.0009250099114060197
2018-04-26,21,cori,0.9999958721518911,5.590423463652273e-07,0.9928692946147086,0.0006684796759324958
2018-04-27,22,cori,0.9999982186769638,3.783872044473398e-07,0.994799445995891,0.0008228285680661156
