date,day,model,risk_of_additional_cases,monte_carlo_standard_error,risk_of_additional_transmission,transmission_monte_carlo_standard_error,risk_of_sustained_transmission,sustained_transmission_monte_carlo_standard_error
2018-04-06,1,cori_so,0.6247162322517306,0.0018703890786910032,0.5800231362469331,0.0019005134230156526,0.3243812487172989,0.002450504657870538
2018-04-07,2,cori_so,0.6121090039134572,0.0038854159554150792,0.5500782757621154,0.004406925679891737,0.3110861645548373,0.006517127643809136
2018-04-08,3,cori_so,0.9132536160069039,0.0015262461238645898,0.8900326189027116,0.0018249909659804721,0.683780513368232,0.002745224234108479
2018-04-09,4,cori_so,0.9042234571715935,0.00153816123915314,0.8686811355152275,0.0018688390536031347,0.6590578392217141,0.0032773788878121967
2018-04-10,5,cori_so,0.8874817671108549,0.002046219864403619,0.8394773819605514,0.0025731111783324962,0.621709504138866,0.0037570737485279632
2018-04-11,6,cori_so,0.8751716636186775,0.0025982207840950875,0.8162023948477151,0.003445282415890363,0.5904082674008175,0.0050030466371495455
2018-04-12,7,cori_so,0.9997094073631233,2.527905198099416e-05,0.9994690339976339,4.64350182486088e-05,0.9899106149099147,0.000919004324690619
2018-04-13,8,cori_so,0.9999820675441269,1.0920911110182162e-06,0.9999548776730768,2.7358752229275846e-06,0.997582300888184,0.0001836322101134654
2018-04-14,9,cori_so,0.9999270412410908,1.5799665394789956e-05,0.9997876422991795,4.5054829616200776e-05,0.9944823141930241,0.000791215028261399
2018-04-15,10,cori_so,0.9998228643547705,4.750321001817231e-05,0.999424058070976,0.00014099439910632012,0.9891790175652447,0.0011221520307042676
2018-04-16,11,cori_so,0.9996856569217111,5.919339031868801e-05,0.998931371034786,0.0001853206958250091,0.9827078740919455,0.002200115546960359
2018-04-17,12,cori_so,0.99932163221605,3.286645653688471e-05,0.9975801413528456,0.00012229667500874926,0.9666638828171384,0.002372932472340767
2018-04-18,13,cori_so,0.9996996922983477,5.35824797400626e-05,0.9989496931559642,0.0001449941796634309,0.9777257279815397,0.0031887466980921758
2018-04-19,14,cori_so,0.9999418065641967,8.827636272433231e-06,0.9997563762643217,3.4985592927095e-05,0.9897699415051823,0.0014248062946655847
2018-04-20,15,cori_so,0.9999842659848505,3.6656331222979648e-06,0.9999265564054326,1.4151766994267602e-05,0.9939109809329839,0.0004253204220988906
2018-04-21,16,cori_so,0.9999903619030291,2.3420498951735465e-06,0.9999483411313279,1.130817572451324e-05,0.9946529392925403,0.0012851430388414406
2018-04-22,17,cori_so,0.9999802064537561,2.070756335992288e-06,0.9998804597687063,1.1848162940388274e-05,0.9902734508332925,0.000932062924377897
2018-04-23,18,cori_so,0.9999942252980974,3.145432929048594e-07,0.9999605924076522,2.174346266494121e-06,0.9940039124223486,0.00034346753228093246
2018-04-24,19,cori_so,0.9999969375647006,5.608164200155113e-07,0.999976484160705,4.232684450380581e-06,0.9942670087176597,0.0006524869001328492
2018-04-25,20,cori_so,0.9999979191035854,8.106709136992286e-07,0.9999835644671963,5.780307825830694e-06,0.996628829494129,0.0005597373085034409
2018-04-26,21,cori_so,0.9999964913863569,6.210682781739455e-07,0.9999670678077999,5.822853312525791e-06,0.9919911573406579,0.0014059354067609507
2018-04-27,22,cori_so,0.9999985339085259,1.7992670397745712e-07,0.9999852661235816,1.8398270742095345e-06,0.994950958687442,0.000665338473737655
2018-04-28,23,cori_so,0.9999932326439028,1.55579458323352e-06,0.9999319761931582,1.4907618288533749e-05,0.9883287681280444,0.001640010460462833
2018-04-29,24,cori_so,0.9999799412304516,2.1750030147857104e-06,0.9998033391850456,2.0695929915818608e-05,0.9769552279951913,0.0019496098129570029
2018-04-30,25,cori_so,0.9999395761578418,6.855573409263266e-06,0.9994574922010905,5.209507267152384e-05,0.9602224827902189,0.0013263849414529001
2018-05-01,26,cori_so,0.9999945831682819,5.916555689167746e-07,0.999950204117967,4.622119823238355e-06,0.9877492976620067,0.0010463138798506857
2018-05-02,27,cori_so,0.9999819933816154,1.5808429781150769e-06,0.9998260537445505,1.5010359514244848e-05,0.9724554116862288,0.0020939557941023835
2018-05-03,28,cori_so,0.9999986606964604,1.688823195784384e-07,0.9999854495266925,1.866843792135278e-06,0.9904331875247737,0.0014783305127461707
