date,day,model,risk_of_additional_cases,monte_carlo_standard_error,risk_of_sustained_transmission,sustained_transmission_monte_carlo_standard_error
2018-04-06,1,sse,0.29115852823555255,0.0017816411889354177,0.09421038251594938,0.001250879157648101
2018-04-07,2,sse,0.28502036552887766,0.003208840832211875,0.08787383435676932,0.0020227678835513596
2018-04-08,3,sse,0.6407630854531452,0.0032662243909258246,0.3034821673561422,0.005443536434061912
2018-04-09,4,sse,0.6263441704763564,0.003117590367324317,0.28456103070817873,0.0068624723982444276
2018-04-10,5,sse,0.6157722714538383,0.0012291232157881817,0.2714947772260651,0.0019436620726345402
2018-04-11,6,sse,0.5942273895281516,0.004524833789317472,0.24980421956628984,0.006134832194708293
2018-04-12,7,sse,0.9329880899546811,0.003627688000950689,0.6589036898141284,0.009271096972002634
2018-04-13,8,sse,0.9823239655154488,0.0005416626575585169,0.8237636367124626,0.004671675277939398
2018-04-14,9,sse,0.9792259485847921,0.0009071498492798294,0.8049291638319028,0.0032200005522116945
2018-04-15,10,sse,0.9750267583958856,0.00040278509127618785,0.7766119898952124,0.005370964988591378
2018-04-16,11,sse,0.9639812851827874,0.0009253041375049367,0.7280090425984823,0.0061341699524829416
2018-04-17,12,sse,0.9557564830586269,0.0019254430196987726,0.6909016923861697,0.011897115600496866
2018-04-18,13,sse,0.9826071839403151,0.00087468224764812,0.7932187186248485,0.006644219593083763
2018-04-19,14,sse,0.9945839715122586,0.0004616229658110207,0.8771269782637964,0.005947792225561111
2018-04-20,15,sse,0.9980780606935978,8.446492432262623e-05,0.9205419209911513,0.0017480372450611212
2018-04-21,16,sse,0.9994390722231455,3.8912435775758465e-05,0.9554132831666023,0.0025550469839591733
2018-04-22,17,sse,0.998927871532277,0.0001870053155483786,0.9295797701037931,0.0066551588243008285
2018-04-23,18,sse,0.9995267388053715,6.93318989013991e-05,0.9513526207690552,0.0017675140528207905
2018-04-24,19,sse,0.9998185596219985,4.70508800146477e-06,0.9661108028567057,0.001508629075228032
2018-04-25,20,sse,0.9999352775321074,5.522155712706592e-06,0.9750999181654528,0.0012549042529542119
2018-04-26,21,sse,0.9998364353944736,2.425173135918457e-05,0.96098778545228,0.0037436988002510965
2018-04-27,22,sse,0.9999275206274935,5.453605904593652e-06,0.9694237275403463,0.0010928511214921338
2018-04-28,23,sse,0.9998520517282858,1.094363282332011e-05,0.9567169321943287,0.0022872186031046176
2018-04-29,24,sse,0.9996494248876222,1.8068632452799947e-05,0.9281854061518011,0.0032892792742959306
2018-04-30,25,sse,0.9991639737416701,7.67074635820188e-05,0.8926437734424476,0.006040365385140931
2018-05-01,26,sse,0.9998353058242213,2.174222354905852e-05,0.9412939413923134,0.00505768135917146
2018-05-02,27,sse,0.9996445412400741,2.0747563142213278e-05,0.913312410313642,0.004705679317220369
2018-05-03,28,sse,0.9999507715201813,6.150053994720002e-06,0.9579011410813096,0.0053836261337427155
2018-05-04,29,sse,0.9999995115033723,9.637872101146488e-08,0.9941628685425195,0.0005286881817168245
2018-05-05,30,sse,0.9999999449527499,6.991965226188087e-09,0.9968837242800779,0.0003407106885922042
2018-05-06,31,sse,0.9999999419704891,3.639371092515129e-08,0.9984630051569979,0.0004925087155007731
2018-05-07,32,sse,0.9999999891247374,3.021390737735951e-09,0.9984866313901982,0.0005408128162959073
2018-05-08,33,sse,0.9999999833234242,1.029570854383607e-08,0.9981611043838049,0.0009626730178493427
2018-05-09,34,sse,0.9999999676876544,6.913451158926535e-09,0.9976416931865725,0.0005914199233596173
2018-05-10,35,sse,0.9999999870174053,6.880538359616403e-09,0.9975370627676072,0.0005302094172557396
2018-05-11,36,sse,0.9999999781209038,4.957508252017302e-09,0.9975063511736525,0.00038609767885454974
2018-05-12,37,sse,0.9999999903915764,3.141751232426429e-09,0.9981706222677715,0.0005250053542721461
2018-05-13,38,sse,0.9999999953162023,1.5007842148446531e-09,0.9986034075527767,0.00033732704938160634
2018-05-14,39,sse,0.9999999970961354,1.7456682804709305e-09,0.9976536915735742,0.0005952355303625773
2018-05-15,40,sse,0.9999999983097065,8.662021811897214e-10,0.997940247947689,0.0003276543846417924
2018-05-16,41,sse,0.9999999995910747,2.3155296194689602e-10,0.9987729581963047,0.0004670691946200747
2018-05-17,42,sse,0.9999999996498223,1.617233928244882e-10,0.9986110797994726,0.0002543743416807788
2018-05-18,43,sse,0.999999999779955,1.4226659426061078e-10,0.9986797734015057,0.0006445684363188201
2018-05-19,44,sse,0.9999999999740233,3.808294479157701e-12,0.9989645884685108,0.0002675071935198007
2018-05-20,45,sse,0.9999999999933598,2.363905422674043e-12,0.9994615619396161,0.00021495007879413568
2018-05-21,46,sse,0.9999999999471942,4.4699329752123154e-11,0.9983156834585745,0.0004906096053645824
2018-05-22,47,sse,0.9999999999814282,3.567684264081487e-12,0.9986089114153123,0.0002987663338843756
2018-05-23,48,sse,0.9999999996938409,1.85362740547505e-10,0.9980164787428638,0.000534183290254563
2018-05-24,49,sse,0.9999999989121335,4.446021890468512e-10,0.9984648947065944,0.0003518010314091409
2018-05-25,50,sse,0.9999999954963786,2.8992622734905688e-09,0.9981434627661265,0.0010517291636453856
2018-05-26,51,sse,0.999999989988863,4.555474452095254e-09,0.9979610888560544,0.0007748742627975474
2018-05-27,52,sse,0.9999999727223106,1.1833855466646725e-08,0.998058359166823,0.0005743408504210321
2018-05-28,53,sse,0.9999999766657536,6.127013675845183e-09,0.9981749280423585,0.0004840038003822127
2018-05-29,54,sse,0.9999997952129932,3.2474099614507685e-08,0.994686568193102,0.0011092552623112354
2018-05-30,55,sse,0.999999308572203,3.550669472238464e-07,0.996580843515219,0.0006008479703613656
2018-05-31,56,sse,0.999998362616557,2.3381563836740448e-07,0.9936041432007457,0.0008227115024663911
2018-06-01,57,sse,0.999995605424493,5.139546523226145e-07,0.9941945080085326,0.0006968983696867108
2018-06-02,58,sse,0.999996996665526,6.617400917612864e-07,0.9961528501712483,0.0008951822919404667
2018-06-03,59,sse,0.9999927768931863,3.2392250105430114e-07,0.9957400591131866,0.00026586007273216115
2018-06-04,60,sse,0.9999782146121368,2.4407408878918266e-06,0.9934189342374296,0.0008828829152719654
2018-06-05,61,sse,0.999953478584125,3.003118072651916e-06,0.9927755887019215,0.0005705680252091475
2018-06-06,62,sse,0.9998955982941886,6.584348427687101e-06,0.990189183826488,0.001310091727781685
2018-06-07,63,sse,0.9997752868885125,5.031690830562815e-06,0.9885022626082571,0.0007357940315066117
2018-06-08,64,sse,0.9995509362369265,1.9205856258087786e-05,0.9849372864690991,0.00060939182926291
2018-06-09,65,sse,0.9991824497357672,4.1849662034643894e-05,0.9834315492798161,0.0010132612678318278
2018-06-10,66,sse,0.9982656561966992,2.595693258278557e-05,0.9759503776522449,0.0007469913946533775
2018-06-11,67,sse,0.9969660581912263,5.5278501183550554e-05,0.9693866441151895,0.000840659001966187
2018-06-12,68,sse,0.9944758572395459,0.00010429682685286269,0.9587394652907446,0.0013251955350815892
2018-06-13,69,sse,0.9912467524208697,0.0002642923298091238,0.9509321410206334,0.0026655904279886742
2018-06-14,70,sse,0.9855156193320146,0.00010726452387483028,0.934398061957206,0.001196765934119402
2018-06-15,71,sse,0.977633671781403,0.00027488681005730103,0.9169986896182002,0.001273207383422462
2018-06-16,72,sse,0.9659974202217863,0.0004414387694528835,0.89387199969855,0.001699506307841116
2018-06-17,73,sse,0.9519694405017244,0.0010152305552297825,0.8712768409660622,0.003525088879277986
2018-06-18,74,sse,0.9325815584319079,0.0007889564158835243,0.8421401684861787,0.0016819784887810816
2018-06-19,75,sse,0.9080763812454659,0.0007661978303322007,0.8076376215227888,0.002482216731652308
2018-06-20,76,sse,0.8814868579097552,0.0009417371514017298,0.7767344102053384,0.0025690406735149767
2018-06-21,77,sse,0.8453948004427784,0.0013344502378283827,0.7296430984630307,0.0032984091421049883
2018-06-22,78,sse,0.8089918734857808,0.001992809015614779,0.6924783344116274,0.003874829451282147
2018-06-23,79,sse,0.7714846404749249,0.001226745129787624,0.6545279766389063,0.0025223615990026932
2018-06-24,80,sse,0.7249308665674257,0.001087036982606945,0.605739320619106,0.0020118061587814404
2018-06-25,81,sse,0.6767997031795532,0.0014902452090463396,0.5581990657132092,0.0028131334779477983
2018-06-26,82,sse,0.6285175679037687,0.0020217757943936632,0.5122292073000732,0.003878657917740606
2018-06-27,83,sse,0.580261753328041,0.0012747848233626905,0.4689808276995573,0.0018410448790360534
2018-06-28,84,sse,0.533085459965588,0.0010307875985420063,0.428469236226671,0.0016779955746662977
