date,day,model,risk_of_additional_cases,monte_carlo_standard_error,risk_of_sustained_transmission,sustained_transmission_monte_carlo_standard_error
2018-04-06,1,ssi,0.28649741138012885,0.00047134797347531175,0.08886995888552052,0.001169874837972177
2018-04-07,2,ssi,0.278902667001414,0.0016512404395957448,0.08495244227225485,0.001570579614482769
2018-04-08,3,ssi,0.9151763534750541,0.0015846309682064424,0.4763018996807672,0.0029736098179532324
2018-04-09,4,ssi,0.8975878534652083,0.004622132616382603,0.4312907246654971,0.004297997148084026
2018-04-10,5,ssi,0.8677815492436917,0.0015185312604033966,0.38498900912519873,0.0048752065596427314
2018-04-11,6,ssi,0.8413271356687408,0.0016223329495482707,0.34039418353958983,0.007096577036299169
2018-04-12,7,ssi,0.9989932828605405,0.0001051023059772343,0.7348917879973371,0.004825148662419206
2018-04-13,8,ssi,0.9994683113830422,2.730502600750303e-05,0.7546046049686843,0.005850587467706394
2018-04-14,9,ssi,0.998911604418933,9.420417849309604e-05,0.700145447811275,0.0016359561102307152
2018-04-15,10,ssi,0.9978091323951789,5.126145596245692e-05,0.6412663530933669,0.00892816986137005
2018-04-16,11,ssi,0.9948154455736754,0.00034304889096560727,0.5529151588036658,0.0035968444780434435
2018-04-17,12,ssi,0.9906891350810183,0.0004402240328274314,0.49081146318609203,0.006511982867906785
2018-04-18,13,ssi,0.994614697607542,0.00019921583224140888,0.5443797408878042,0.001617150297879162
2018-04-19,14,ssi,0.9962432237931418,0.00015220401546441726,0.5725954039818761,0.006856165529907617
2018-04-20,15,ssi,0.9973904293999458,0.00013173195910019843,0.6175337844174686,0.006274401094199286
2018-04-21,16,ssi,0.9982483931836463,0.00011671635473886858,0.6449972559261802,0.0038556200193876045
2018-04-22,17,ssi,0.9956160035909025,9.29303842504958e-05,0.5649335488178655,0.00421265272767248
2018-04-23,18,ssi,0.9968771962337118,9.467476251029383e-05,0.6092248740795632,0.003357986858436018
2018-04-24,19,ssi,0.9973133290550357,0.0001659863332041233,0.6311711538054587,0.005267614646330921
2018-04-25,20,ssi,0.997871197390099,0.00024312502730035164,0.6668610732579596,0.003864754127359162
2018-04-26,21,ssi,0.99517847911558,0.0002942097703916932,0.5668716253370836,0.005326905536353819
2018-04-27,22,ssi,0.9958839763568684,0.00018538909057531745,0.5997425213153356,0.007337360835166457
2018-04-28,23,ssi,0.9915893618297404,0.00036813766236171906,0.5187310249202723,0.009316133393050659
2018-04-29,24,ssi,0.9832856998415839,0.0003792161482575941,0.41223421509769365,0.006602769254037419
2018-04-30,25,ssi,0.9695394169478689,0.000281628711889741,0.33348325140585344,0.002515077990249083
2018-05-01,26,ssi,0.9924837554584292,0.00036789416897754746,0.5376355902397183,0.003751029480188915
2018-05-02,27,ssi,0.984183776575012,0.0003252220471166978,0.44217061017711146,0.0033682613853277324
2018-05-03,28,ssi,0.9966913118447926,0.00020439279747286982,0.6165607306498859,0.004953365140865626
2018-05-04,29,ssi,0.999997227285541,8.174760315742711e-07,0.9185243508101409,0.0028231476615919776
2018-05-05,30,ssi,0.9999995410425268,1.5313377966886078e-07,0.9239097206842134,0.0028019336532885907
2018-05-06,31,ssi,0.9999980252741371,2.707617858882871e-07,0.9059659018774544,0.005073383674333395
2018-05-07,32,ssi,0.9999975444244283,2.9855091819620547e-07,0.8856380926396279,0.00355233153583993
2018-05-08,33,ssi,0.9999965181519855,2.1655925936971412e-07,0.8897806550936948,0.0051017346540109965
2018-05-09,34,ssi,0.9999906409906292,3.45960515240721e-06,0.9011870123158984,0.0034137711278183565
2018-05-10,35,ssi,0.9999862419105435,8.828742866937587e-06,0.8875104555002564,0.006106991178961101
2018-05-11,36,ssi,0.999986860806838,2.074934125889244e-06,0.8888509745685386,0.005265796834827406
2018-05-12,37,ssi,0.9999819359574003,5.426577097365574e-06,0.8820705637465027,0.005282945559250239
2018-05-13,38,ssi,0.9999848564945342,2.479196868551641e-06,0.8908490792830506,0.005976694287539526
2018-05-14,39,ssi,0.9999893160595972,2.152049832143783e-06,0.894105969768917,0.00769068897126958
2018-05-15,40,ssi,0.999987074743843,4.158702171674428e-06,0.9157372225190109,0.004294670003277417
2018-05-16,41,ssi,0.9999986164949178,1.0436735838770641e-06,0.9281155754231456,0.001358946843187625
