date,day,model,risk_of_additional_cases,monte_carlo_standard_error,risk_of_additional_transmission,transmission_monte_carlo_standard_error,risk_of_sustained_transmission,sustained_transmission_monte_carlo_standard_error
2018-04-06,1,ssi_so,0.2847891797703501,0.0009938860217763414,0.25457877470460266,0.001030908317946034,0.09042454188811733,0.001025979766273736
2018-04-07,2,ssi_so,0.2747153768230258,0.001252319919255072,0.23190334172742266,0.0012451560316501145,0.08311951280811358,0.0017660274594601176
2018-04-08,3,ssi_so,0.9169759849354628,0.0013938669506056308,0.8681869516700665,0.002184622231688359,0.4890603160661948,0.009074518909886984
2018-04-09,4,ssi_so,0.895282201669564,0.001999107050786164,0.8219774838089137,0.0021802532745370537,0.43486798192199316,0.002802584933248202
2018-04-10,5,ssi_so,0.8684396891073597,0.0028758034891358227,0.767200190895154,0.0025572258988546303,0.39086413035812184,0.003939688455107979
2018-04-11,6,ssi_so,0.845086640826185,0.001620404386865455,0.717004324426159,0.001841584296713708,0.3457783489497386,0.0016494282438258012
2018-04-12,7,ssi_so,0.998928865838572,8.97937618065072e-05,0.987961947175514,0.0005016087498932182,0.7386201055907328,0.0029569948435921073
2018-04-13,8,ssi_so,0.9996244170731077,7.783696473587019e-05,0.9908559357990395,0.00047566480558578655,0.7633468674634364,0.0031444380465929446
2018-04-14,9,ssi_so,0.998974756481462,7.281318307666942e-05,0.9791480227460619,0.00012390071826793613,0.6975929450403803,0.00295049355957205
2018-04-15,10,ssi_so,0.9977051167005093,0.00028235345280336067,0.9606470674104238,0.0012245692097348053,0.6376512604437105,0.005713753821284691
2018-04-16,11,ssi_so,0.9953066424537758,0.00017693775388204997,0.932079925077355,0.0012248046256302686,0.5543842362261828,0.0025634193005799662
2018-04-17,12,ssi_so,0.990173596271053,8.29336775363954e-05,0.8933392758491563,0.0002568584058756322,0.4898099114194677,0.0029093494546636955
2018-04-18,13,ssi_so,0.994275495907471,0.00014951430307750047,0.9173779778220479,0.0008636869122371184,0.5396303265402083,0.005549002464301454
2018-04-19,14,ssi_so,0.9963498653977279,0.00013882110785487232,0.9355534668694193,0.0004885222290238522,0.5917869025169993,0.0024870199381944566
2018-04-20,15,ssi_so,0.9976065719538155,7.635859714143689e-05,0.9457636483727268,0.0012312254775298378,0.6196891307452688,0.0014498086443382597
2018-04-21,16,ssi_so,0.998232928244044,2.514843048876268e-05,0.9557380155593759,0.002163507713276906,0.6521004126004493,0.006424552121525139
2018-04-22,17,ssi_so,0.9956152911562818,0.00028634366081469826,0.922215819001712,0.002243866227293936,0.5639388259484732,0.0023272986599865387
2018-04-23,18,ssi_so,0.996772933988211,0.00019551051348446166,0.9364251497686414,0.0020612443777510443,0.6029143767112012,0.0026281320302986902
2018-04-24,19,ssi_so,0.997170132511638,7.571860967795268e-05,0.9490417791350373,0.001447660044254459,0.6345075928286563,0.0052616964880703235
2018-04-25,20,ssi_so,0.9976576945830754,0.00010850813863906067,0.953913532115065,0.00109306938340452,0.650771382371733,0.003014600175753263
2018-04-26,21,ssi_so,0.995106261794122,0.00013138069054469272,0.9234082975364363,0.0010987118530316601,0.5698181650480018,0.004255222559937876
2018-04-27,22,ssi_so,0.9961960841173157,5.0040656167512695e-05,0.9404201339925202,0.0012194235408879194,0.6119538695048393,0.0052777045028167555
2018-04-28,23,ssi_so,0.9917546715778098,0.00019813854651526598,0.8981047690434187,0.002162507355117884,0.5044896993012782,0.005362726365228135
2018-04-29,24,ssi_so,0.9834325133148805,0.00047156039201108315,0.8424102356836625,0.0025758356595484582,0.4192766557472447,0.00201428420319203
2018-04-30,25,ssi_so,0.9712260192996972,0.00033933903259395057,0.7776291369679809,0.0024156802763215923,0.3410813324324531,0.0043356771155280294
2018-05-01,26,ssi_so,0.9920810323565745,0.00010972077358225362,0.9195211625749077,0.0017599652765806495,0.5330656616370186,0.0034993535577125525
2018-05-02,27,ssi_so,0.9852992238990984,0.00029171878184459715,0.8751948894166627,0.001655342297516987,0.4497945726711111,0.003975544488219073
2018-05-03,28,ssi_so,0.9968671750641936,0.00027096500478690933,0.9600339644148983,0.001793822530149927,0.6313619519646377,0.009140724313668866
2018-05-04,29,ssi_so,0.9999971277392862,6.6271626598115e-07,0.9994183298198681,8.023499649403501e-05,0.9151972067773098,0.0029142828727737927
2018-05-05,30,ssi_so,0.9999994686672868,1.990266355189506e-07,0.9996702188546603,5.4780246967684016e-05,0.9284582305093994,0.0025282721546002716
2018-05-06,31,ssi_so,0.9999978292436925,1.0623332027355835e-06,0.999165941225492,4.9734327154946554e-05,0.8990729701016379,0.002985263091547516
2018-05-07,32,ssi_so,0.9999864045707707,1.1313198276120596e-05,0.9985481826091809,0.0001760205700511403,0.8815106977303647,0.0024262580554396734
2018-05-08,33,ssi_so,0.9999955550593482,1.0363946864037778e-06,0.9976914020425405,0.0002193116118954147,0.8475290233232156,0.006715174724703496
2018-05-09,34,ssi_so,0.999955569107336,1.2316678451207253e-05,0.9928969501668574,0.0006340869598393197,0.7766288799263457,0.00430909039497958
2018-05-10,35,ssi_so,0.999993317327763,1.7346075609216565e-06,0.9975070230225871,0.0002965190419441881,0.8538457764440208,0.0036034953770366536
2018-05-11,36,ssi_so,0.9999797415146197,3.002629053868382e-06,0.9943226478154259,0.00014949594938114665,0.7851329039044557,0.003638589520529389
2018-05-12,37,ssi_so,0.999949118180502,3.921400808314878e-06,0.9911270347662534,0.0007840217311238779,0.7683321885656196,0.009270004629138765
2018-05-13,38,ssi_so,0.9999818806543963,1.6878627119987557e-06,0.994482512340329,0.0004255158502457104,0.8061034143182415,0.006622011304229967
2018-05-14,39,ssi_so,0.9999859804478919,7.232264763813106e-06,0.9959821238107439,0.0003323692847919092,0.821211585381904,0.005929756672971841
2018-05-15,40,ssi_so,0.9999978011250874,3.061786045815758e-07,0.9984390692344733,8.828268063945304e-05,0.8490968023161212,0.002591014467894041
2018-05-16,41,ssi_so,0.999997340558978,1.555381994321004e-06,0.9991700840724295,0.00012538663149502878,0.8766629286853033,0.006636326541052571
2018-05-17,42,ssi_so,0.9999927205225416,1.0453396604066172e-06,0.9969825302515425,0.0003584713646407907,0.8435465886680866,0.007853811108843025
2018-05-18,43,ssi_so,0.9999959883485087,1.7353685163292136e-06,0.9983761941423874,0.00026671550568672134,0.8644618543788738,0.00584502667799323
2018-05-19,44,ssi_so,0.999997881024488,7.303220530217874e-07,0.9989395108607722,0.00012776624370331441,0.8776652497530447,0.0030556146973404713
2018-05-20,45,ssi_so,0.9999988577586723,4.3061482145504413e-07,0.9990487748080965,0.00014449045475102928,0.8760347061833188,0.006026185120597568
2018-05-21,46,ssi_so,0.9999995367860054,2.4835293191516215e-07,0.9994502000006654,3.893995188571055e-05,0.8799771089904258,0.004117512357670226
2018-05-22,47,ssi_so,0.9999959342350715,1.185401529603929e-06,0.9979043685316794,0.0003628385050779011,0.8632088485022986,0.0036568765567541665
2018-05-23,48,ssi_so,0.9999782175485933,4.1687952935244154e-06,0.9958865341640564,0.00045087843759962043,0.8471109043335878,0.0027875648510319174
2018-05-24,49,ssi_so,0.9999050692423205,1.3039047039594091e-05,0.9902883547099641,0.000645205620112545,0.8276371739279995,0.006199273391511022
2018-05-25,50,ssi_so,0.9996702878657109,3.434888786347507e-05,0.9809167306638884,0.00042335821978881007,0.7771999502784404,0.007673222119358901
2018-05-26,51,ssi_so,0.9990715267292953,5.109183315537114e-05,0.9696973142093369,0.0023122807253735888,0.7412597654178579,0.010262709578983543
2018-05-27,52,ssi_so,0.9975378512245706,0.00019210424379220324,0.9513562755428494,0.0030910608139752,0.7052850751152214,0.006040024528452112
2018-05-28,53,ssi_so,0.9977265162054498,0.00011741892343854214,0.9578483459887632,0.0014405291674812986,0.7219140319418691,0.007380171556564204
2018-05-29,54,ssi_so,0.9949170049196325,6.91275481660454e-05,0.9370591430118133,0.0013529212220739879,0.676781418610042,0.007807413904875198
2018-05-30,55,ssi_so,0.9895864644350512,0.00031339730759943446,0.9058016013229565,0.0021517078564161837,0.6249467991253934,0.0056268751538373065
2018-05-31,56,ssi_so,0.9807362568821459,0.00036650431604629555,0.8712775446960535,0.0026855648361563374,0.5826308375385361,0.009059823813697146
2018-06-01,57,ssi_so,0.9689445730040027,0.0010394377379726824,0.8315937770473734,0.006344569420683508,0.5358318960192571,0.007398601974324189
2018-06-02,58,ssi_so,0.974901880597084,0.0007122198714553884,0.8692750857883996,0.003562209195862941,0.5844559026303635,0.008783116168921962
2018-06-03,59,ssi_so,0.9599840371890986,0.0015308515999750685,0.8270654840598228,0.006629820573875588,0.5306082562944071,0.008404363585318772
2018-06-04,60,ssi_so,0.9414312427859517,0.0016978969617762326,0.7885125343139985,0.006486248595217668,0.49230992593902867,0.009251867477451735
2018-06-05,61,ssi_so,0.9154800059646593,0.002064815507471015,0.7372908449163702,0.005169682891052931,0.4407863471670044,0.005212458673940818
2018-06-06,62,ssi_so,0.8811710598031897,0.003258796698981967,0.6851508755560876,0.007979789878021452,0.4000128970284128,0.00811162630065635
2018-06-07,63,ssi_so,0.8407327291896398,0.0010982368977757908,0.6243237781578822,0.002166748005509741,0.3520848346575566,0.0025455973223296345
2018-06-08,64,ssi_so,0.8015948219202574,0.0037309093101011194,0.5792335745017647,0.00900815068301298,0.3227234954088002,0.009088798802538274
2018-06-09,65,ssi_so,0.7531238841375781,0.003466686178987024,0.5228668090558104,0.008145498014899218,0.2821190721968796,0.007221757865135142
2018-06-10,66,ssi_so,0.7082538593645226,0.0038843337047201948,0.4812467283048162,0.007538433405763856,0.25690226226075963,0.0072055623650369265
2018-06-11,67,ssi_so,0.6501173164423596,0.003067981653973694,0.418088394808258,0.0053676290549458,0.21675789885909347,0.004814103387604043
2018-06-12,68,ssi_so,0.5993609506443449,0.004485586943707673,0.3758714413782789,0.007676007388729303,0.1971305093573632,0.005894778536538611
2018-06-13,69,ssi_so,0.5502664562811306,0.003594531708636799,0.3364862150296176,0.004189244041241479,0.17382108310731548,0.0029246718134515663
2018-06-14,70,ssi_so,0.5020080508543934,0.002165968173728468,0.3001526623984704,0.0025696738610523303,0.1537004973837729,0.0021172839472545666
2018-06-15,71,ssi_so,0.4481327839001996,0.003522914919197944,0.25928378042064826,0.00546743199334335,0.13348656193528752,0.004855280760305258
2018-06-16,72,ssi_so,0.3981886051513691,0.0025271252644175598,0.21986225480376909,0.003399110753077274,0.10979740112373515,0.0026904637041532133
2018-06-17,73,ssi_so,0.3560263166927017,0.0012047808280618022,0.19244559787848758,0.0009980945115856434,0.09654372770492714,0.000567998938631224
2018-06-18,74,ssi_so,0.3200596949304325,0.00095492408454035,0.17077262978843866,0.0017203331119424131,0.08567417567270819,0.0015228044854812888
2018-06-19,75,ssi_so,0.2843706339780202,0.001667708791844426,0.14953744484966436,0.0026840325021566204,0.07489756286912874,0.002224400936729757
2018-06-20,76,ssi_so,0.24903392915621225,0.002439403401576946,0.1264528073783895,0.0033913348283150465,0.06312427765944384,0.0028045511263197495
2018-06-21,77,ssi_so,0.21786447390254515,0.0014946181470286636,0.10783641283962764,0.0022398304475908164,0.05376627013391799,0.0017041482218977091
2018-06-22,78,ssi_so,0.19385691291635787,0.0013949330649393676,0.09635832855233972,0.0013261144756197185,0.04873940434527824,0.0009365366737857688
2018-06-23,79,ssi_so,0.1690168467152443,0.0004435037691215391,0.08156576536205207,0.0008076632484187354,0.04090066847686491,0.0008237512172974016
2018-06-24,80,ssi_so,0.1467644823850761,0.0014744055739197939,0.0693540559089505,0.0018648279032428819,0.034316749734966345,0.001341334817329471
2018-06-25,81,ssi_so,0.12794766747681074,0.0007294100732533204,0.05991540248567828,0.0010751125815385081,0.030040212536586064,0.0007514151549296143
2018-06-26,82,ssi_so,0.11199041706269552,0.0005285864945680545,0.05272218587157096,0.0002787395232045325,0.02710991189348766,0.00013818581222465115
2018-06-27,83,ssi_so,0.09692614020203383,0.0005867164582040408,0.044156522927148334,0.0006184138488754636,0.02218163502937831,0.00044263774103429345
2018-06-28,84,ssi_so,0.08456664689783389,0.0011465172345814065,0.0388595916136395,0.0012375159665468734,0.020044303654903062,0.0008653921850781506
2018-06-29,85,ssi_so,0.07414068533389673,0.0005421663868608617,0.034310727158402665,0.0005479473889888002,0.017832466418366555,0.0004897889942143577
2018-06-30,86,ssi_so,0.06332821969596736,0.0004464809730133921,0.028366266421378294,0.0005754352937586447,0.01459125989711696,0.00037081163431831426
2018-07-01,87,ssi_so,0.05513902517452984,0.00024190422022503534,0.02442483766324799,0.0002938579992500814,0.012480446513938426,0.00027897754122771593
2018-07-02,88,ssi_so,0.047625202057577254,0.0006470965727946058,0.021094103392548136,0.0006327108216095504,0.01085706164221134,0.00048057388473263186
2018-07-03,89,ssi_so,0.041755160062345364,0.0003737236643591731,0.018689693259499762,0.00046087541074250746,0.009852414954636068,0.0003725079785025867
2018-07-04,90,ssi_so,0.03540306231606072,0.00046526293407269536,0.015342989504037896,0.00046908201560723166,0.007930785418438946,0.00033328987891211064
2018-07-05,91,ssi_so,0.03077825020708047,0.00020021082552899714,0.01344246181071651,0.00019948040132958,0.007035478974935394,0.00015175624395642273
2018-07-06,92,ssi_so,0.026271559580664627,0.00012633135795420751,0.011233066150033166,0.00015145221926952054,0.00584341703425495,0.0001002879801593189
2018-07-07,93,ssi_so,0.0229790678965186,0.00038122046825746957,0.009862429302948339,0.0003631365631579157,0.005094125457206555,0.00024775859609697717
2018-07-08,94,ssi_so,0.019845951435140674,0.00012150586300060838,0.008567201807044511,0.00013423828829139917,0.004508720077564643,0.00010617414382221606
2018-07-09,95,ssi_so,0.01730344815841245,0.00022748763491673612,0.007405952118581305,0.0002215010070615627,0.003871493183323471,0.00016518505086789986
2018-07-10,96,ssi_so,0.014570198492608766,0.0001440223921646228,0.00614066187050144,0.00017456210183011117,0.003235205332347113,0.00012936406235665852
2018-07-11,97,ssi_so,0.012566061807821383,0.00021738293109123505,0.005324081246337764,0.00022375339649731475,0.002823238614073742,0.00017195023810384028
2018-07-12,98,ssi_so,0.010763165904560834,2.418525009519233e-05,0.004495961882707067,5.2108130348857864e-05,0.0023776602661313984,4.699905926195333e-05
2018-07-13,99,ssi_so,0.009434141936676133,4.212258878377785e-05,0.004048154994159114,7.074780018958498e-05,0.0021814293835989984,6.594120295530168e-05
2018-07-14,100,ssi_so,0.007999451042357664,7.621262000958726e-05,0.0033832185758239097,6.991674683471712e-05,0.0018162460063489982,4.524668748557191e-05
2018-07-15,101,ssi_so,0.006997844900079153,5.085657326566068e-05,0.0030095428228334997,5.685822270418872e-05,0.001629510036694981,4.514939405298647e-05
2018-07-16,102,ssi_so,0.005936945411749495,7.124664411845386e-05,0.002514587619908304,8.811209431942499e-05,0.0013541487938053542,6.344500203146373e-05
2018-07-17,103,ssi_so,0.005126068604127343,4.469249668561487e-05,0.0021789679077057755,3.098074658316748e-05,0.0011771600007780547,2.0808084255199305e-05
2018-07-18,104,ssi_so,0.004334575301816246,5.201823286261921e-05,0.0017998751946177727,4.7304738419784045e-05,0.0009528860855435584,3.486200128933946e-05
2018-07-19,105,ssi_so,0.0037783256353218775,4.56300531868049e-05,0.0016038218402215643,4.4756290029032606e-05,0.0008782546187869888,3.290489544209773e-05
2018-07-20,106,ssi_so,0.0032333446235485175,1.878999631065165e-05,0.0013453735961252988,2.224861766738853e-05,0.0007239372754341833,1.4781306764437087e-05
2018-07-21,107,ssi_so,0.0027734025263480566,1.731889209184917e-05,0.0011593112865018185,1.5301086191874467e-05,0.000631505026853274,1.4916627220318773e-05
2018-07-22,108,ssi_so,0.0023454122534117827,2.6371843396009873e-05,0.0009572427273534245,2.664340077540315e-05,0.0005109344899536516,2.022016329034538e-05
2018-07-23,109,ssi_so,0.00202189316793866,1.4591148327340204e-05,0.0008260528049732763,1.2516505434301197e-05,0.00044340582649038396,9.903198536277525e-06
2018-07-24,110,ssi_so,0.0017155281307200676,1.2108137721693823e-05,0.0006926851068339568,8.857872157123443e-06,0.000372306041982462,7.71985574526844e-06
