date,day,model,risk_of_additional_cases,monte_carlo_standard_error,risk_of_sustained_transmission,sustained_transmission_monte_carlo_standard_error
2018-05-08,33,sse,0.999980182514631,8.430881539282328e-07,0.9058453599185907,0.0022558085421691323
2018-05-09,34,sse,0.9999681268109573,7.404425696995123e-07,0.9018830453593354,0.0011554941389044996
2018-05-10,35,sse,0.9999901644054755,2.818544605298155e-07,0.913470876109349,0.0010175240054376498
2018-05-11,36,sse,0.9999819119605206,6.392407761216659e-07,0.90729359070639,0.0005909212003897039
2018-05-12,37,sse,0.9999829968128575,6.880751441586532e-07,0.9096531414910929,0.001109343139870573
2018-05-13,38,sse,0.9999898665340654,2.475955481342128e-07,0.9132110748939747,0.0009035771054041766
2018-05-14,39,sse,0.9999936958674259,1.3842102679886267e-07,0.919154233475317,0.0003404011409329267
2018-05-15,40,sse,0.9999976450951924,1.6887487613072218e-07,0.927526393757328,0.0005024184598462582
2018-05-16,41,sse,0.9999991101280713,1.2107559734931045e-08,0.9260906733695975,0.0012180457097155546
2018-05-17,42,sse,0.9999981829339035,1.2583835198755756e-07,0.9262970142757021,0.0017087495376124644
2018-05-18,43,sse,0.9999989575408869,3.17111240102957e-08,0.9273391251713649,0.0011441534605687597
2018-05-19,44,sse,0.9999993163736629,6.672968640607412e-08,0.9301766834748256,0.002236227621455187
2018-05-20,45,sse,0.9999996812601278,5.344019072254796e-09,0.9351339045233115,0.0015121378923291728
2018-05-21,46,sse,0.9999997668953609,1.4559834104090087e-08,0.9342408087628883,0.001556228228401751
2018-05-22,47,sse,0.9999995218605936,4.6400009900664583e-08,0.9319779514968791,0.0017303902356183604
2018-05-23,48,sse,0.9999989261030185,7.718135281502606e-08,0.9316990172254752,0.0009235391023662215
2018-05-24,49,sse,0.9999975283652852,6.803366436577694e-08,0.9229756241021807,0.0011384330530596917
2018-05-25,50,sse,0.9999946108395591,2.0211473974535777e-07,0.9226604186148799,0.001047485021202616
2018-05-26,51,sse,0.9999884757425803,5.498558606365528e-07,0.9168510040845267,0.0020111903781819844
2018-05-27,52,sse,0.9999738737281666,7.455384574890614e-07,0.9114019514265889,0.0005535661436292391
2018-05-28,53,sse,0.9999687737046591,5.256409532486017e-07,0.9104003270561537,0.0016406730709456157
2018-05-29,54,sse,0.9999370124474938,1.6771797640491756e-06,0.9050397165737007,0.0019467469245929504
2018-05-30,55,sse,0.9998689913873354,3.0984812484432682e-06,0.8985115641556783,0.0008767353888165245
2018-05-31,56,sse,0.9997346279826942,4.673611771342815e-06,0.8879910242385867,0.0020942273762626705
2018-06-01,57,sse,0.999505572534026,1.4969043802323466e-05,0.8793329426372398,0.0032420044875038595
2018-06-02,58,sse,0.999483788652974,1.2956649554007416e-05,0.8752757051914977,0.0015417479318781257
2018-06-03,59,sse,0.9990759114286741,2.0910964883177854e-05,0.8664184214172704,0.0011736119143593705
2018-06-04,60,sse,0.9983973469612047,2.076190447367324e-05,0.8522632788777925,0.0017252560758684293
2018-06-05,61,sse,0.9972045577101593,7.060258721611456e-05,0.8379695367241677,0.0021845797750464874
2018-06-06,62,sse,0.9955456994750114,6.097506455803683e-05,0.8228032247574422,0.002280964182603161
2018-06-07,63,sse,0.9930483167131404,6.389842218857156e-05,0.8057522221179771,0.001959042565587383
