date,day,model,risk_of_additional_cases,monte_carlo_standard_error,risk_of_additional_transmission,transmission_monte_carlo_standard_error,risk_of_sustained_transmission,sustained_transmission_monte_carlo_standard_error
2018-05-08,33,sse_so,0.9999999844435422,2.111238071280125e-09,0.9999587787629228,8.51528531316226e-07,0.9399565924117017,0.0007600646098196005
2018-05-09,34,sse_so,0.9999997833576348,2.8741998135273937e-08,0.9998045171299205,7.991201828851765e-06,0.8998529795013321,0.001830868513848088
2018-05-10,35,sse_so,0.9999999844229158,2.0685902251701708e-09,0.99996221668249,8.978965471597869e-07,0.9374803441511618,0.0022529874521747006
2018-05-11,36,sse_so,0.9999998652733602,2.8437524275413924e-08,0.9998524584800877,6.237898858822826e-06,0.9034238036725148,0.0014953176970996997
2018-05-12,37,sse_so,0.9999997831780123,1.4835849053833001e-08,0.999782433983018,4.684723657310568e-06,0.8881665148516737,0.0018094616199229535
2018-05-13,38,sse_so,0.9999998859822252,1.8583648173466987e-08,0.999879392780297,4.90859882308961e-06,0.9072117601446353,0.0008355083007464023
2018-05-14,39,sse_so,0.9999999425800405,1.412531446365014e-08,0.9999293330633118,9.422756621236827e-07,0.9166127802613897,0.0018329821980974182
2018-05-15,40,sse_so,0.9999999918669045,1.1596841244251849e-09,0.9999790696985413,8.913424639845928e-07,0.9349028063422294,0.0014095999873194771
2018-05-16,41,sse_so,0.9999999992045819,9.1769971908527e-11,0.9999947835648895,1.5611537408931253e-07,0.9440151770825653,0.0009281500796909289
2018-05-17,42,sse_so,0.9999999751964085,5.400347548341259e-09,0.9999621257129546,1.586122934136792e-06,0.9329240024872074,0.0007125244837793692
2018-05-18,43,sse_so,0.9999999816359971,3.3219483386407207e-09,0.9999717259583116,1.0330852969295288e-06,0.9379239296989479,0.0002945995280128658
2018-05-19,44,sse_so,0.999999981743444,6.052158577248282e-09,0.9999778295755877,1.984930581070645e-06,0.9402557452084447,0.0022470488217266804
2018-05-20,45,sse_so,0.9999999979613007,4.4548785431522033e-10,0.9999941258686111,3.8188235685469394e-07,0.9414773501717532,0.0018396527695056309
2018-05-21,46,sse_so,0.9999999957157925,2.3513750457251797e-09,0.9999941717615783,5.444427021254624e-07,0.9462036667022132,0.0011067231078330977
2018-05-22,47,sse_so,0.9999999695384145,4.427693850470456e-09,0.9999614654412396,1.4768081159439582e-06,0.9393817486668146,0.0009085047944053484
2018-05-23,48,sse_so,0.9999996875534878,4.430925048987168e-08,0.9998407940795168,5.92706193758959e-06,0.9311169392851848,0.00150127312798406
2018-05-24,49,sse_so,0.9999981947596891,8.497908994770807e-08,0.9994762187438245,8.320276215444914e-06,0.9189182561608175,0.0009140223840129618
2018-05-25,50,sse_so,0.9999907069425193,8.216800346290273e-07,0.9985496980686213,3.030467085188263e-05,0.9004255295467017,0.0015266425047523536
2018-05-26,51,sse_so,0.9999635189657471,7.786487711192897e-07,0.9965466119827321,5.777606001274415e-05,0.8800329576580398,0.0009608526805519908
2018-05-27,52,sse_so,0.9998648435874018,5.832733148525817e-06,0.9925310996835198,0.00013409847772560127,0.8528026947456623,0.0013220741767966707
2018-05-28,53,sse_so,0.9998526530312369,5.325788596051977e-06,0.9931303209312538,0.00014080662788481515,0.8553022725489585,0.0023713348980232956
2018-05-29,54,sse_so,0.9995826923602086,7.679169346052904e-06,0.9866434909469793,9.612299462435857e-05,0.8224112510464472,0.0005921557524294022
2018-05-30,55,sse_so,0.9989254183484197,7.278248634807813e-06,0.9765352891290405,0.0001851636826917674,0.7889098289163635,0.002851853481616064
2018-05-31,56,sse_so,0.9976783634990002,2.214551445270728e-05,0.9625256528747345,0.0003542860985296796,0.7526495626342858,0.0011386690568861468
2018-06-01,57,sse_so,0.9951944443104804,0.00010962401839152958,0.9430090384672374,0.000825855807157586,0.7122353675778808,0.0023597340707157436
